============================================================
bootstrap: 過去データ一括取得
対象 dataspec: RACE, DIFN, HOSE, BLOD, SLOP, WOOD, HOYU, YSCH, TOKU, COMM, MING
option = 4 (ダイアログなしセットアップ)
fromtime = 20210101000000
============================================================

[01:07:09] open: {'dataspec': 'RACE', 'readcount': 1031, 'downloadcount': 0, 'last_timestamp': '20260511133754'}
[01:07:14] read: {'dataspec': 'RACE', 'files_done': 4, 'records': 3461, 'file': 'JGVM2021019920230808173711.jvd'}
[01:07:19] read: {'dataspec': 'RACE', 'files_done': 8, 'records': 7080, 'file': 'O4VM2021019920230808173715.jvd'}
[01:07:24] read: {'dataspec': 'RACE', 'files_done': 13, 'records': 10563, 'file': 'SEVM2021019920230808173720.jvd'}
[01:07:29] read: {'dataspec': 'RACE', 'files_done': 13, 'records': 14244, 'file': 'SEVM2021019920230808173720.jvd'}
[01:07:34] read: {'dataspec': 'RACE', 'files_done': 19, 'records': 17772, 'file': 'JGVM2021029920230808173733.jvd'}
[01:07:39] read: {'dataspec': 'RACE', 'files_done': 23, 'records': 21471, 'file': 'O4VM2021029920230808173737.jvd'}
[01:07:44] read: {'dataspec': 'RACE', 'files_done': 28, 'records': 25033, 'file': 'SEVM2021029920230808173742.jvd'}
[01:07:50] read: {'dataspec': 'RACE', 'files_done': 30, 'records': 28649, 'file': 'H1VM2021039920230808173749.jvd'}
[01:07:55] read: {'dataspec': 'RACE', 'files_done': 34, 'records': 32189, 'file': 'JGVM2021039920230808173755.jvd'}
[01:08:00] read: {'dataspec': 'RACE', 'files_done': 42, 'records': 35633, 'file': 'RAVM2021039920230808173803.jvd'}
[01:08:05] read: {'dataspec': 'RACE', 'files_done': 43, 'records': 39366, 'file': 'SEVM2021039920230808173804.jvd'}
[01:08:10] read: {'dataspec': 'RACE', 'files_done': 46, 'records': 42977, 'file': 'H6VM2021049920230808173812.jvd'}
[01:08:15] read: {'dataspec': 'RACE', 'files_done': 49, 'records': 46541, 'file': 'JGVM2021049920230808173817.jvd'}
[01:08:20] read: {'dataspec': 'RACE', 'files_done': 58, 'records': 50010, 'file': 'SEVM2021049920230808173826.jvd'}
[01:08:25] read: {'dataspec': 'RACE', 'files_done': 58, 'records': 53744, 'file': 'SEVM2021049920230808173826.jvd'}
[01:08:30] read: {'dataspec': 'RACE', 'files_done': 65, 'records': 57185, 'file': 'JGVM2021059920230808173840.jvd'}
[01:08:35] read: {'dataspec': 'RACE', 'files_done': 65, 'records': 60869, 'file': 'JGVM2021059920230808173840.jvd'}
[01:08:40] read: {'dataspec': 'RACE', 'files_done': 74, 'records': 64312, 'file': 'SEVM2021059920230808173849.jvd'}
[01:08:45] read: {'dataspec': 'RACE', 'files_done': 74, 'records': 68027, 'file': 'SEVM2021059920230808173849.jvd'}
[01:08:50] read: {'dataspec': 'RACE', 'files_done': 77, 'records': 71648, 'file': 'H6VM2021069920230808173857.jvd'}
[01:08:55] read: {'dataspec': 'RACE', 'files_done': 80, 'records': 75240, 'file': 'JGVM2021069920230808173902.jvd'}
[01:09:00] read: {'dataspec': 'RACE', 'files_done': 89, 'records': 78577, 'file': 'SEVM2021069920230808173911.jvd'}
[01:09:05] read: {'dataspec': 'RACE', 'files_done': 89, 'records': 82237, 'file': 'SEVM2021069920230808173911.jvd'}
[01:09:10] read: {'dataspec': 'RACE', 'files_done': 95, 'records': 85731, 'file': 'JGVM2021079920230808173924.jvd'}
[01:09:15] read: {'dataspec': 'RACE', 'files_done': 98, 'records': 89360, 'file': 'O3VM2021079920230808173927.jvd'}
[01:09:20] read: {'dataspec': 'RACE', 'files_done': 104, 'records': 92896, 'file': 'SEVM2021079920230808173933.jvd'}
[01:09:25] read: {'dataspec': 'RACE', 'files_done': 109, 'records': 96430, 'file': 'HRVM2021089920230808173946.jvd'}
