filter,2023_bets,2023_hit_rate,2023_return_rate,2024_bets,2024_hit_rate,2024_return_rate,2025_bets,2025_hit_rate,2025_return_rate,robust_3fold
wl_odds_9_25,111,11.7,154.9,74,5.4,99.5,105,15.2,97.0,Y
wl_pop_1_2,150,16.0,195.6,90,13.3,119.4,141,15.6,88.0,Y
wl_odds_8_25,122,10.7,140.9,80,5.0,92.0,116,13.8,87.8,Y
wl_odds_7_22,130,10.0,132.2,87,4.6,84.6,121,14.0,85.6,Y
wl_odds_20_50,88,13.6,83.5,64,10.9,187.2,87,24.1,162.0,Y
wl_pop_1_3,211,14.2,163.1,121,12.4,99.7,185,15.1,78.3,n
odds_10_20,258,8.1,111.2,201,9.0,127.6,243,7.0,69.8,n
all,3456,7.9,69.5,3456,8.5,77.2,3468,8.2,82.9,n
non_wl,2498,7.5,62.9,2891,8.3,73.9,2580,7.9,92.0,n
wl_ex_unsure,224,8.5,59.4,146,9.6,101.5,226,10.2,66.2,n
whitelist_only,958,9.1,86.8,565,9.4,94.3,888,9.2,56.3,n
wl_ex_tentative,958,9.1,86.8,565,9.4,94.3,888,9.2,56.3,n
wl_ex_unsure_pop_1_4,61,6.6,53.9,29,13.8,130.0,50,20.0,90.6,n
wl_pop_7_plus,516,6.0,64.6,302,8.6,78.0,491,7.5,52.9,n
odds_2_5,155,11.0,52.1,165,13.3,55.7,190,13.7,131.8,n
wl_pop_4_10,312,8.7,68.7,188,9.6,156.2,288,6.9,43.9,n
wl_pop_4_8,223,9.0,80.5,138,8.7,166.7,194,5.7,38.6,n
wl_pop_4_6,137,8.8,36.1,89,6.7,158.9,121,5.8,48.2,n
wl_odds_2_5,46,8.7,23.0,32,18.8,74.7,46,17.4,95.4,n
wl_pop_5_9_ex_unsure,49,6.1,25.1,30,6.7,140.7,49,4.1,18.0,n
wl_odds_5_15_pop_1_4,32,12.5,192.5,9,11.1,12.2,29,13.8,129.0,n
wl_odds_6_20,116,6.9,118.6,62,3.2,5.6,90,6.7,48.3,n
wl_odds_5_15,117,6.0,114.4,64,3.1,5.5,93,9.7,78.7,n
wl_odds_5_10,51,2.0,4.5,34,2.9,7.1,41,9.8,76.8,n
wl_odds_10_20,76,9.2,178.0,35,2.9,3.1,64,7.8,65.2,n
wl_odds_8_20,96,7.3,140.9,48,2.1,2.3,79,6.3,52.8,n
wl_odds_8_20_ex_tentative,96,7.3,140.9,48,2.1,2.3,79,6.3,52.8,n
wl_odds_2_8_pop_1_3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,n
wl_odds_8_20_ex_unsure,20,10.0,39.0,10,0.0,0.0,19,10.5,31.1,n
wl_odds_8_20_pop_4_8,3,0.0,0.0,1,0.0,0.0,0,0.0,0.0,n
