filter,2023_bets,2023_hit_rate,2023_return_rate,2024_bets,2024_hit_rate,2024_return_rate,2025_bets,2025_hit_rate,2025_return_rate,robust_3fold
wl5_pop_1_2,199,17.6,117.6,187,16.6,195.5,259,16.2,240.5,Y
wl_odds_9_25,111,11.7,154.9,74,5.4,99.5,105,15.2,97.0,Y
wl_pop_1_2_kelly_ge_01,63,15.9,164.0,37,18.9,241.6,51,25.5,94.9,Y
wl_pop_1_2,150,16.0,195.6,90,13.3,119.4,141,15.6,88.0,Y
wl_pop_1_2_ev_ge_105,65,15.4,158.9,38,18.4,235.3,55,23.6,88.0,Y
wl_odds_8_25,122,10.7,140.9,80,5.0,92.0,116,13.8,87.8,Y
wl_odds_8_25_ev_ge_110,87,12.6,118.5,56,7.1,131.4,75,16.0,86.0,Y
wl_odds_7_22,130,10.0,132.2,87,4.6,84.6,121,14.0,85.6,Y
wl_odds_20_50,88,13.6,83.5,64,10.9,187.2,87,24.1,162.0,Y
tm_rank_1_3,750,20.1,82.0,813,20.7,81.2,819,21.0,79.1,n
wl_pop_1_3,211,14.2,163.1,121,12.4,99.7,185,15.1,78.3,n
tm_rank_1,251,26.3,76.8,291,30.2,76.8,264,28.8,78.6,n
dm_rank_1_3,801,17.5,84.5,806,18.6,78.7,824,17.8,76.8,n
kelly_ge_05,1042,8.1,73.0,1049,8.3,82.5,1012,9.6,77.3,n
odds_20_50_ev_ge_150,267,11.2,72.1,281,17.8,168.0,253,15.0,90.0,n
wl_tm_rank_1_3,237,20.7,70.6,167,20.4,97.2,222,23.9,84.0,n
dm_rank_1,257,21.0,76.1,271,26.9,70.6,279,26.2,77.2,n
tm_rank_1_3_ev_ge_105,360,18.3,70.1,393,19.3,88.4,394,20.8,79.8,n
odds_10_20,258,8.1,111.2,201,9.0,127.6,243,7.0,69.8,n
all,3456,7.9,69.5,3456,8.5,77.2,3468,8.2,82.9,n
tm_score_ge_700,3308,7.8,69.1,3307,8.5,77.9,3327,8.2,84.1,n
tm_score_ge_800,3308,7.8,69.1,3307,8.5,77.9,3327,8.2,84.1,n
tm_score_ge_900,3308,7.8,69.1,3307,8.5,77.9,3327,8.2,84.1,n
wl_odds_20_50_ev_ge_150,78,12.8,67.3,53,13.2,226.0,66,25.8,152.1,n
wl_kelly_ge_05,311,8.7,65.6,172,9.3,121.0,284,12.0,75.8,n
ev_ge_110,1596,7.8,66.6,1634,8.1,83.3,1568,8.6,64.9,n
wl_kelly_ge_01,443,8.8,64.8,257,9.7,106.6,400,11.2,68.0,n
wl_ev_120,436,8.5,64.8,256,9.8,107.0,393,11.5,69.3,n
ev_ge_105,1614,7.7,65.9,1650,8.1,92.5,1591,8.5,64.2,n
wl_ev_110,448,8.7,64.1,262,9.5,104.6,406,11.6,73.9,n
ev_ge_120,1554,7.5,65.2,1600,8.2,84.3,1528,8.5,63.9,n
tm_score_ge_700_ev_ge_110,1508,7.5,64.2,1535,7.9,83.3,1480,8.4,63.7,n
wl_ev_105,451,8.6,63.7,264,9.5,103.8,415,11.3,72.3,n
kelly_ge_01,1574,7.8,67.2,1619,8.2,93.6,1553,8.5,63.2,n
ev_ge_150,1456,7.4,62.9,1508,8.2,85.5,1428,8.7,66.2,n
non_wl,2498,7.5,62.9,2891,8.3,73.9,2580,7.9,92.0,n
wl_ev_150,402,8.2,62.0,241,9.5,111.7,368,11.1,66.7,n
ev_ge_200,1342,7.4,61.2,1379,7.5,77.5,1310,8.7,69.0,n
wl_ex_unsure,224,8.5,59.4,146,9.6,101.5,226,10.2,66.2,n
odds_8_25_ev_ge_110,270,11.5,107.6,275,10.5,81.5,296,9.5,56.5,n
whitelist_only,958,9.1,86.8,565,9.4,94.3,888,9.2,56.3,n
wl_ex_tentative,958,9.1,86.8,565,9.4,94.3,888,9.2,56.3,n
wl_tm_score_ge_700,924,8.9,83.5,548,9.7,97.2,862,8.9,54.5,n
wl_tm_score_ge_800,924,8.9,83.5,548,9.7,97.2,862,8.9,54.5,n
wl_ex_unsure_pop_1_4,61,6.6,53.9,29,13.8,130.0,50,20.0,90.6,n
wl_pop_7_plus,516,6.0,64.6,302,8.6,78.0,491,7.5,52.9,n
odds_2_5,155,11.0,52.1,165,13.3,55.7,190,13.7,131.8,n
wl_tm_rank_1_3_ev_ge_105,120,16.7,52.0,84,19.0,121.0,108,25.9,93.6,n
wl5_ev_ge_110,777,8.8,79.6,754,8.6,126.0,756,7.5,51.9,n
prob_ge_30,409,8.3,45.5,456,9.2,77.7,399,12.3,61.7,n
prob_ge_20,621,8.5,45.1,695,8.3,65.3,599,11.4,99.1,n
wl_pop_4_10,312,8.7,68.7,188,9.6,156.2,288,6.9,43.9,n
wl_prob_ge_30,135,6.7,43.2,74,13.5,128.0,121,15.7,85.7,n
wl_prob_ge_20,195,8.2,39.8,121,11.6,87.1,169,15.4,103.3,n
wl_pop_4_8,223,9.0,80.5,138,8.7,166.7,194,5.7,38.6,n
wl_pop_4_6,137,8.8,36.1,89,6.7,158.9,121,5.8,48.2,n
wl_pop_1_2_ex_unsure,35,5.7,32.0,15,13.3,60.7,31,29.0,140.6,n
wl_odds_2_5,46,8.7,23.0,32,18.8,74.7,46,17.4,95.4,n
wl_pop_5_9_ex_unsure,49,6.1,25.1,30,6.7,140.7,49,4.1,18.0,n
wl_odds_5_15_pop_1_4,32,12.5,192.5,9,11.1,12.2,29,13.8,129.0,n
wl_odds_6_20,116,6.9,118.6,62,3.2,5.6,90,6.7,48.3,n
wl_odds_5_15,117,6.0,114.4,64,3.1,5.5,93,9.7,78.7,n
wl_odds_5_10,51,2.0,4.5,34,2.9,7.1,41,9.8,76.8,n
wl_odds_10_20,76,9.2,178.0,35,2.9,3.1,64,7.8,65.2,n
wl_odds_8_20,96,7.3,140.9,48,2.1,2.3,79,6.3,52.8,n
wl_odds_8_20_ex_tentative,96,7.3,140.9,48,2.1,2.3,79,6.3,52.8,n
