filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2026P_bets,2026P_hit_rate,2026P_return_rate,min_return,robust_3fold
only_t04_09_ev_ge_110,165,8.5,82.4,166,12.0,121.1,105,11.4,168.3,82.4,Y
only_t02_pop_1_3,19,15.8,292.6,22,18.2,453.6,0,0.0,0.0,292.6,n
only_t02_pop_1_2,15,13.3,347.3,18,16.7,172.8,0,0.0,0.0,172.8,n
only_t02,72,9.7,105.6,72,11.1,200.7,0,0.0,0.0,105.6,n
dm_rank_1_3,377,18.6,82.8,451,17.7,75.2,372,16.1,76.5,75.2,n
only_t04_07_09,76,13.2,78.6,96,14.6,75.1,69,24.6,124.9,75.1,n
tm_rank_1_3,382,23.0,88.3,437,19.7,74.1,355,17.2,68.2,68.2,n
odds_10_20,118,5.1,73.0,125,8.8,66.9,147,8.2,82.6,66.9,n
only_t04_09_pop_1_3,64,14.1,66.1,88,12.5,76.5,83,25.3,126.3,66.1,n
dm_rank_1,134,30.6,94.2,141,22.0,62.3,142,19.0,62.7,62.3,n
only_t10_pop_1_2,25,16.0,163.6,13,38.5,160.0,18,5.6,61.1,61.1,n
kelly_ge_01,780,9.1,65.4,768,8.1,64.3,502,7.0,61.0,61.0,n
only_t08_pop_1_2,31,9.7,72.3,39,20.5,158.7,67,19.4,60.9,60.9,n
ev_ge_120,768,9.1,66.0,756,8.1,65.1,507,6.9,60.4,60.4,n
only_t04_09,360,7.2,58.4,396,7.6,60.9,264,13.3,130.3,58.4,n
ev_ge_150,725,9.4,69.4,699,8.2,66.1,462,6.5,58.3,58.3,n
ev_ge_110,785,9.3,68.5,776,8.1,64.7,529,6.6,57.8,57.8,n
ev_ge_105,797,9.3,68.0,792,8.0,63.4,533,6.6,57.4,57.4,n
wl5_pop_1_2,114,17.5,356.5,143,15.4,151.4,86,12.8,56.4,56.4,n
tm_rank_1_3_ev_ge_105,180,27.2,109.1,215,15.3,56.3,110,19.1,70.6,56.3,n
tm_score_ge_700_ev_ge_110,743,9.6,70.5,729,7.5,60.6,504,6.3,56.1,56.1,n
tm_score_ge_700,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
tm_score_ge_800,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
tm_score_ge_900,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
only_t08_pop_1_3,45,11.1,68.4,48,18.8,147.1,91,16.5,55.6,55.6,n
all,1740,7.9,74.9,1728,8.6,91.0,1308,8.0,54.9,54.9,n
non_wl,1740,7.9,74.9,1728,8.6,91.0,1308,8.0,54.9,54.9,n
only_t09_pop_1_2,37,16.2,81.4,38,18.4,54.7,47,27.7,151.3,54.7,n
prob_ge_30,181,10.5,54.5,223,13.0,65.6,98,8.2,55.2,54.5,n
only_t06_pop_1_2,55,23.6,586.0,40,17.5,274.5,60,11.7,53.7,53.7,n
tm_rank_1,123,33.3,85.4,144,25.0,79.2,128,18.8,53.5,53.5,n
ev_ge_200,668,9.6,72.9,636,8.0,68.6,409,5.6,53.0,53.0,n
only_t09,264,7.6,63.7,204,10.3,52.6,216,13.0,137.2,52.6,n
only_t06_pop_1_3,76,22.4,451.2,50,14.0,219.6,70,11.4,52.4,52.4,n
kelly_ge_05,495,9.9,78.4,517,9.1,75.0,258,8.5,51.6,51.6,n
odds_20_50_ev_ge_150,114,14.9,85.7,137,15.3,94.8,89,9.0,49.6,49.6,n
odds_8_25_ev_ge_110,131,8.4,48.6,162,10.5,63.8,94,14.9,130.2,48.6,n
only_t04_09_pop_1_2,47,12.8,64.0,61,14.8,46.7,64,26.6,134.7,46.7,n
prob_ge_20,278,11.2,98.8,325,11.4,98.5,168,8.9,45.8,45.8,n
only_t10_pop_1_3,33,15.2,133.3,16,37.5,171.9,24,4.2,45.8,45.8,n
only_t04,96,6.2,43.9,192,4.7,69.7,48,14.6,99.2,43.9,n
only_t05,312,6.7,42.3,228,10.5,186.7,180,9.4,57.6,42.3,n
only_t09_pop_1_3,48,18.8,88.1,52,13.5,40.0,62,24.2,126.3,40.0,n
only_t10,168,9.5,77.7,72,12.5,60.8,144,2.8,39.4,39.4,n
only_t08,252,7.5,38.7,228,8.3,51.5,276,8.7,34.7,34.7,n
odds_2_5,103,6.8,31.7,86,18.6,217.1,167,18.0,66.8,31.7,n
only_t01_pop_1_2,0,0.0,0.0,26,11.5,31.2,0,0.0,0.0,31.2,n
only_t06,300,8.0,149.3,204,8.3,90.9,300,5.3,28.7,28.7,n
only_t03,96,5.2,103.0,144,7.6,172.9,72,5.6,22.6,22.6,n
only_t07,180,11.1,61.3,216,9.7,63.3,72,5.6,22.4,22.4,n
only_t01_pop_1_3,0,0.0,0.0,41,7.3,19.8,0,0.0,0.0,19.8,n
only_t05_pop_1_2,48,8.3,17.1,41,12.2,46.3,43,14.0,44.0,17.1,n
only_t01,0,0.0,0.0,168,5.4,16.9,0,0.0,0.0,16.9,n
only_t05_pop_1_3,65,7.7,16.8,52,15.4,554.6,59,11.9,43.6,16.8,n
only_t03_pop_1_2,15,6.7,16.0,24,16.7,99.6,21,19.0,77.6,16.0,n
only_t03_pop_1_3,18,5.6,13.3,34,14.7,81.2,28,14.3,58.2,13.3,n
wl5_ev_ge_110,329,10.3,70.1,422,5.7,44.5,190,3.2,13.2,13.2,n
only_t07_pop_1_3,36,16.7,92.5,46,13.0,105.4,9,11.1,12.2,12.2,n
only_t04_pop_1_2,10,0.0,0.0,23,8.7,33.5,17,23.5,88.8,0.0,n
only_t07_pop_1_2,29,13.8,102.1,35,14.3,124.6,5,0.0,0.0,0.0,n
only_t04_pop_1_3,16,0.0,0.0,36,11.1,129.2,21,28.6,126.2,0.0,n
