filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2026P_bets,2026P_hit_rate,2026P_return_rate,min_return,robust_3fold
wl_kelly_ge_05,112,9.8,104.7,120,13.3,152.8,56,12.5,86.4,86.4,Y
wl_ev_120,162,8.6,83.9,162,12.3,124.1,100,12.0,176.7,83.9,Y
wl_ev_150,153,7.8,83.1,151,11.3,114.6,85,12.9,191.9,83.1,Y
wl_kelly_ge_01,164,8.5,82.9,165,12.1,121.8,98,12.2,180.3,82.9,Y
wl_ev_110,167,8.4,81.4,166,12.0,121.1,104,11.5,169.9,81.4,Y
only_t04_09_ev_ge_110,167,8.4,81.4,166,12.0,121.1,104,11.5,169.9,81.4,Y
wl_ev_105,168,8.3,80.9,167,12.0,120.4,105,11.4,168.3,80.9,Y
wl_pop_1_2_ex_unsure,10,30.0,173.0,14,28.6,80.7,18,11.1,123.3,80.7,Y
only_t02_pop_1_3,19,15.8,292.6,22,18.2,453.6,0,0.0,0.0,292.6,n
only_t02_pop_1_2,15,13.3,347.3,18,16.7,172.8,0,0.0,0.0,172.8,n
wl_odds_8_20_pop_4_8,0,0.0,0.0,0,0.0,0.0,30,10.0,154.0,154.0,n
only_t02,72,9.7,105.6,72,11.1,200.7,0,0.0,0.0,105.6,n
wl_odds_2_8_pop_1_3,0,0.0,0.0,0,0.0,0.0,41,24.4,99.0,99.0,n
dm_rank_1_3,377,18.6,82.8,451,17.7,75.2,372,16.1,76.5,75.2,n
only_t04_07_09,76,13.2,78.6,96,14.6,75.1,69,24.6,124.9,75.1,n
wl_prob_ge_20,58,10.3,147.1,76,14.5,70.1,33,18.2,105.5,70.1,n
tm_rank_1_3,382,23.0,88.3,437,19.7,74.1,355,17.2,68.2,68.2,n
odds_10_20,118,5.1,73.0,125,8.8,66.9,147,8.2,82.6,66.9,n
wl_pop_1_3,64,14.1,66.1,88,12.5,76.5,83,25.3,126.3,66.1,n
only_t04_09_pop_1_3,64,14.1,66.1,88,12.5,76.5,83,25.3,126.3,66.1,n
