=== filter_sweep --recent-3fold bg 起動 ===
  Fold A: 2025-H1 (1-6月), Fold B: 2025-H2 (7-12月), Fold C: 2026-Q1+ (1-5月)
  total ~4-5 時間 bg expected
16:05:03
  collected fold 2025H1 (20250101-20250630): 1740 picks
  collected fold 2025H2 (20250701-20251231): 1728 picks
  collected fold 2026P (20260101-20260517): 1380 picks
sec,8534.7
filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2026P_bets,2026P_hit_rate,2026P_return_rate,min_return,robust_3fold
only_t02_pop_1_3,19,15.8,292.6,22,18.2,453.6,0,0.0,0.0,292.6,n
only_t02_pop_1_2,15,13.3,347.3,18,16.7,172.8,0,0.0,0.0,172.8,n
only_t02,72,9.7,105.6,72,11.1,200.7,0,0.0,0.0,105.6,n
only_t04_09_ev_ge_110,173,8.1,78.6,175,11.4,114.6,145,11.0,159.9,78.6,n
dm_rank_1_3,377,18.6,82.8,451,17.7,75.2,372,16.1,76.5,75.2,n
only_t04_07_09,76,13.2,78.6,96,14.6,75.1,79,21.5,109.1,75.1,n
odds_8_25_ev_ge_110,170,8.2,78.1,206,11.7,70.5,180,10.6,106.4,70.5,n
tm_rank_1_3,382,23.0,88.3,437,19.7,74.1,355,17.2,68.2,68.2,n
odds_10_20,118,5.1,73.0,125,8.8,66.9,158,7.6,76.8,66.9,n
only_t04_09_pop_1_3,64,14.1,66.1,88,12.5,76.5,97,21.6,108.0,66.1,n
tm_rank_1_3_ev_ge_105,186,26.9,106.3,225,17.3,66.0,149,16.8,71.5,66.0,n
dm_rank_1,134,30.6,94.2,141,22.0,62.3,142,19.0,62.7,62.3,n
only_t10_pop_1_2,25,16.0,163.6,13,38.5,160.0,18,5.6,61.1,61.1,n
ev_ge_150,783,9.3,69.9,757,8.2,62.6,577,6.4,61.1,61.1,n
tm_score_ge_700_ev_ge_110,793,9.5,76.1,779,8.2,72.4,601,6.7,61.0,61.0,n
ev_ge_120,827,9.3,74.7,813,8.7,68.3,638,6.6,60.1,60.1,n
ev_ge_110,838,9.2,73.7,830,8.8,75.4,660,6.5,59.2,59.2,n
ev_ge_105,845,9.1,73.1,835,8.7,75.0,674,6.5,58.9,58.9,n
only_t04_09,360,7.2,58.4,396,7.6,60.9,288,12.2,119.4,58.4,n
wl5_pop_1_2,114,17.5,356.5,143,15.4,151.4,86,12.8,56.4,56.4,n
tm_score_ge_700,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
tm_score_ge_800,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
tm_score_ge_900,1663,8.2,77.5,1665,8.3,90.7,1218,8.0,55.6,55.6,n
only_t09_pop_1_2,37,16.2,81.4,38,18.4,54.7,47,27.7,151.3,54.7,n
only_t06_pop_1_2,55,23.6,586.0,40,17.5,274.5,60,11.7,53.7,53.7,n
tm_rank_1,123,33.3,85.4,144,25.0,79.2,128,18.8,53.5,53.5,n
only_t09,264,7.6,63.7,204,10.3,52.6,216,13.0,137.2,52.6,n
only_t06_pop_1_3,76,22.4,451.2,50,14.0,219.6,70,11.4,52.4,52.4,n
all,1740,7.9,74.9,1728,8.6,91.0,1380,7.5,52.1,52.1,n
non_wl,1740,7.9,74.9,1728,8.6,91.0,1380,7.5,52.1,52.1,n
only_t08_pop_1_2,31,9.7,72.3,39,20.5,158.7,79,16.5,51.6,51.6,n
only_t08_pop_1_3,45,11.1,68.4,48,18.8,147.1,104,14.4,48.7,48.7,n
odds_20_50_ev_ge_150,136,15.4,103.5,164,13.4,81.8,137,6.6,47.6,47.6,n
s6_kelly_ge_10,409,10.0,89.9,387,8.8,61.0,294,6.8,46.8,46.8,n
only_t04_09_pop_1_2,47,12.8,64.0,61,14.8,46.7,74,23.0,116.5,46.7,n
kelly_ge_01,843,9.1,73.3,829,8.6,66.9,661,6.8,46.6,46.6,n
only_t10_pop_1_3,33,15.2,133.3,16,37.5,171.9,24,4.2,45.8,45.8,n
s6_kelly_08_mp40,510,10.4,81.4,490,9.0,63.7,374,6.4,45.2,45.2,n
