filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H1_lo,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2025H2_lo,2026P_bets,2026P_hit_rate,2026P_return_rate,2026P_lo,min_return,min_lo,robust_3fold
only_t07_pop_1_3,147,32.0,92.0,68.2,171,29.2,88.1,65.0,132,34.8,92.0,68.6,88.1,65.0,Y
only_t07_pop_1_2,119,35.3,92.8,68.2,145,31.0,83.3,61.2,121,35.5,88.2,64.0,83.3,61.2,Y
prob_ge_20,998,30.9,70.5,63.1,1012,33.1,79.1,71.7,1222,30.4,72.5,66.1,70.5,63.1,n
wl5_pop_1_2,435,30.8,74.5,63.1,546,30.4,80.3,70.2,598,29.1,69.9,60.8,69.9,60.8,n
prob_ge_30,390,44.9,82.2,72.7,377,39.3,69.8,60.1,457,39.2,71.1,62.7,69.8,60.1,n
only_t04_07_09,371,28.3,71.7,59.3,401,34.4,85.4,72.9,399,32.8,81.5,69.3,71.7,59.3,n
tm_rank_1_3,1354,24.7,66.3,58.8,1327,25.2,71.4,64.1,1608,24.6,68.9,62.0,66.3,58.8,n
odds_2_5,941,22.3,66.1,58.6,894,25.5,76.1,67.5,1107,24.5,72.2,64.8,66.1,58.6,n
tm_rank_1,822,28.8,66.5,58.5,752,29.9,77.0,67.3,947,28.1,67.0,58.9,66.5,58.5,n
dm_rank_1_3,1330,23.7,65.1,56.9,1311,25.2,77.4,65.4,1523,24.8,69.7,62.6,65.1,56.9,n
dm_rank_1,754,27.9,64.8,56.2,713,28.8,76.6,65.6,794,28.5,75.2,64.9,64.8,56.2,n
only_t01_pop_1_2,0,0.0,0.0,0.0,118,29.7,79.6,56.1,68,33.8,91.9,61.8,79.6,56.1,n
tm_score_ge_700,1666,21.7,62.7,55.6,1669,23.1,77.1,66.9,1922,22.2,65.4,58.8,62.7,55.6,n
tm_score_ge_800,1666,21.7,62.7,55.6,1669,23.1,77.1,66.9,1922,22.2,65.4,58.8,62.7,55.6,n
tm_score_ge_900,1666,21.7,62.7,55.6,1669,23.1,77.1,66.9,1922,22.2,65.4,58.8,62.7,55.6,n
all,1740,21.4,62.6,55.5,1728,23.4,76.9,65.4,2045,21.9,64.4,57.7,62.6,55.5,n
non_wl,1740,21.4,62.6,55.5,1728,23.4,76.9,65.4,2045,21.9,64.4,57.7,62.6,55.5,n
only_t07,180,26.1,75.2,55.1,216,25.0,85.8,63.2,176,29.0,96.1,67.7,75.2,55.1,n
only_t01_pop_1_3,0,0.0,0.0,0.0,138,27.5,79.2,56.7,83,28.9,82.8,54.1,79.2,54.1,n
only_t04_09_pop_1_2,252,25.0,61.7,49.0,256,36.3,86.5,71.2,278,31.7,78.5,64.2,61.7,49.0,n
only_t06_pop_1_3,230,27.0,63.7,49.7,165,27.3,69.0,51.8,245,25.3,61.3,47.4,61.3,47.4,n
only_t05_pop_1_2,224,30.8,67.1,52.2,147,29.9,61.5,46.1,152,26.3,66.0,47.6,61.5,46.1,n
only_t09_pop_1_2,187,25.7,60.6,44.4,136,34.6,78.1,58.8,164,33.5,79.9,61.6,60.6,44.4,n
only_t06_pop_1_2,202,29.7,67.1,51.4,134,33.6,85.0,63.7,212,26.9,57.8,44.2,57.8,44.2,n
only_t04_09_pop_1_3,283,22.6,56.5,44.0,305,34.8,95.7,78.8,327,30.3,83.1,68.8,56.5,44.0,n
only_t08_pop_1_2,165,24.8,59.6,43.4,148,28.4,64.3,47.7,178,31.5,82.1,63.3,59.6,43.4,n
only_t05,312,23.4,58.8,44.5,228,21.9,63.4,43.2,226,20.4,61.5,44.6,58.8,43.2,n
only_t06,300,21.3,57.5,42.7,204,24.0,79.8,51.8,300,21.7,57.3,43.6,57.3,42.7,n
only_t08,252,19.4,63.9,44.4,228,20.6,60.0,42.7,297,20.2,57.1,42.4,57.1,42.4,n
only_t03_pop_1_2,68,29.4,77.1,46.9,99,26.3,71.7,47.3,108,25.0,64.9,41.9,64.9,41.9,n
only_t08_pop_1_3,191,23.6,62.7,46.4,172,25.0,59.4,41.7,227,26.0,72.0,55.8,59.4,41.7,n
only_t09_pop_1_3,208,23.6,56.5,41.7,161,33.5,89.9,66.6,193,31.1,80.7,61.4,56.5,41.7,n
only_t05_pop_1_3,259,27.8,65.3,51.1,175,25.7,55.1,40.3,165,25.5,66.1,48.4,55.1,40.3,n
only_t01,0,0.0,0.0,0.0,168,23.2,74.9,50.4,110,21.8,62.5,39.3,62.5,39.3,n
only_t04_09,360,18.6,53.9,38.5,396,27.8,84.0,68.0,408,25.5,80.2,63.9,53.9,38.5,n
only_t09,264,19.3,54.2,37.6,204,27.9,82.6,59.4,241,26.1,77.3,56.8,54.2,37.6,n
only_t02_pop_1_3,51,27.5,70.6,37.3,60,26.7,74.3,40.2,105,24.8,65.0,39.3,65.0,37.3,n
only_t02,72,22.2,71.1,37.1,72,23.6,83.8,39.7,121,21.5,56.4,36.5,56.4,36.5,n
only_t04_pop_1_2,65,23.1,64.9,36.3,120,38.3,96.1,71.4,114,28.9,76.6,52.5,64.9,36.3,n
only_t03_pop_1_3,81,28.4,81.1,50.5,113,23.0,62.8,41.7,128,21.1,54.8,35.6,54.8,35.6,n
only_t03,96,27.1,101.0,61.8,144,18.8,99.5,35.2,167,18.0,54.7,34.4,54.7,34.4,n
only_t10_pop_1_3,124,21.8,55.0,37.1,60,20.0,61.5,30.2,193,21.8,57.5,41.9,55.0,30.2,n
only_t04_pop_1_3,75,20.0,56.3,29.3,144,36.1,102.3,76.1,134,29.1,86.6,61.3,56.3,29.3,n
only_t04,96,16.7,53.3,29.3,192,27.6,85.4,61.0,167,24.6,84.3,57.7,53.3,29.3,n
only_t10_pop_1_2,103,25.2,61.9,41.1,52,21.2,60.4,28.7,159,25.8,67.5,48.0,60.4,28.7,n
tm_rank_1_3_ev_ge_105,214,8.9,50.1,28.2,198,11.6,78.7,45.2,235,11.1,68.6,42.1,50.1,28.2,n
only_t02_pop_1_2,46,26.1,55.7,28.0,50,30.0,77.2,41.2,89,27.0,63.0,41.1,55.7,28.0,n
ev_ge_105,319,6.9,45.3,26.9,311,10.0,102.6,56.8,341,8.5,55.7,34.8,45.3,26.9,n
