race_id,horse_num,category,odds_t10,odds_final,odds_ratio,p_t10,p_final,p_diff,p_ratio,rank_t10,rank_final,won
2026-0509-04-01-03-02,01,same,5.7,5.7,1.0,0.138221,0.138221,0.0,1.0,3,3,0
2026-0509-04-01-03-02,02,same,11.1,11.1,1.0,0.070978,0.070978,0.0,1.0,5,5,0
2026-0509-04-01-03-02,03,same,2.1,2.1,1.0,0.375171,0.375171,0.0,1.0,1,1,1
2026-0509-04-01-03-02,04,same,80.4,80.4,1.0,0.009799,0.009799,0.0,1.0,9,9,0
2026-0509-04-01-03-02,05,same,13.7,13.7,1.0,0.057508,0.057508,0.0,1.0,7,7,0
2026-0509-04-01-03-02,06,same,63.2,63.2,1.0,0.012466,0.012466,0.0,1.0,8,8,0
2026-0509-04-01-03-02,07,same,140.9,140.9,1.0,0.005592,0.005592,0.0,1.0,10,10,0
2026-0509-04-01-03-02,08,same,4.5,4.5,1.0,0.17508,0.17508,0.0,1.0,2,2,0
2026-0509-04-01-03-02,09,same,8.8,8.8,1.0,0.08953,0.08953,0.0,1.0,4,4,0
2026-0509-04-01-03-02,10,same,12.0,12.0,1.0,0.065655,0.065655,0.0,1.0,6,6,0
2026-0509-04-01-03-03,01,same,34.5,34.5,1.0,0.022939,0.022939,0.0,1.0,10,10,0
2026-0509-04-01-03-03,02,same,84.0,84.0,1.0,0.009421,0.009421,0.0,1.0,13,13,0
2026-0509-04-01-03-03,03,same,4.1,4.1,1.0,0.193024,0.193024,0.0,1.0,2,2,0
2026-0509-04-01-03-03,04,same,97.0,97.0,1.0,0.008159,0.008159,0.0,1.0,14,14,0
2026-0509-04-01-03-03,05,same,16.9,16.9,1.0,0.046828,0.046828,0.0,1.0,9,9,0
2026-0509-04-01-03-03,06,same,71.0,71.0,1.0,0.011146,0.011146,0.0,1.0,12,12,0
2026-0509-04-01-03-03,07,same,113.0,113.0,1.0,0.007004,0.007004,0.0,1.0,15,15,0
2026-0509-04-01-03-03,08,same,13.1,13.1,1.0,0.060412,0.060412,0.0,1.0,7,7,0
2026-0509-04-01-03-03,09,same,6.4,6.4,1.0,0.123656,0.123656,0.0,1.0,3,3,0
2026-0509-04-01-03-03,10,same,9.8,9.8,1.0,0.080755,0.080755,0.0,1.0,5,5,0
2026-0509-04-01-03-03,11,same,53.0,53.0,1.0,0.014932,0.014932,0.0,1.0,11,11,0
2026-0509-04-01-03-03,12,same,9.1,9.1,1.0,0.086967,0.086967,0.0,1.0,4,4,0
2026-0509-04-01-03-03,13,same,10.0,10.0,1.0,0.07914,0.07914,0.0,1.0,6,6,0
2026-0509-04-01-03-03,14,same,13.7,13.7,1.0,0.057766,0.057766,0.0,1.0,8,8,0
2026-0509-04-01-03-03,15,same,4.0,4.0,1.0,0.19785,0.19785,0.0,1.0,1,1,1
2026-0509-04-01-03-04,01,same,48.3,50.2,1.0393,0.016527,0.015835,-0.000693,0.9581,9,9,0
2026-0509-04-01-03-04,02,same,4.7,4.7,1.0,0.169844,0.169128,-0.000716,0.9958,2,2,0
2026-0509-04-01-03-04,03,same,5.4,5.4,1.0,0.147827,0.147204,-0.000624,0.9958,3,3,0
2026-0509-04-01-03-04,04,same,51.0,56.7,1.1118,0.015652,0.014019,-0.001633,0.8957,11,11,0
2026-0509-04-01-03-04,05,same,49.4,51.4,1.0405,0.016159,0.015465,-0.000694,0.957,10,10,0
2026-0509-04-01-03-04,06,same,7.0,7.0,1.0,0.114038,0.113557,-0.000481,0.9958,6,6,0
2026-0509-04-01-03-04,07,same,4.0,3.8,0.95,0.199567,0.209184,0.009617,1.0482,1,1,0
2026-0509-04-01-03-04,08,same,30.5,30.7,1.0066,0.026173,0.025892,-0.00028,0.9893,8,8,0
2026-0509-04-01-03-04,09,same,20.6,20.4,0.9903,0.038751,0.038966,0.000215,1.0055,7,7,0
2026-0509-04-01-03-04,10,same,6.2,6.1,0.9839,0.128753,0.130311,0.001559,1.0121,4,4,0
2026-0509-04-01-03-04,11,same,6.3,6.6,1.0476,0.126709,0.120439,-0.00627,0.9505,5,5,1
2026-0509-04-01-03-05,01,same,46.5,46.5,1.0,0.01698,0.01698,0.0,1.0,11,11,0
2026-0509-04-01-03-05,02,same,14.4,14.4,1.0,0.054833,0.054833,0.0,1.0,7,7,0
2026-0509-04-01-03-05,03,same,19.5,19.5,1.0,0.040492,0.040492,0.0,1.0,9,9,0
2026-0509-04-01-03-05,04,same,14.0,14.0,1.0,0.056399,0.056399,0.0,1.0,6,6,0
2026-0509-04-01-03-05,05,same,20.2,20.2,1.0,0.039089,0.039089,0.0,1.0,10,10,0
2026-0509-04-01-03-05,06,same,49.5,49.5,1.0,0.015951,0.015951,0.0,1.0,12,12,0
2026-0509-04-01-03-05,07,same,16.5,16.5,1.0,0.047854,0.047854,0.0,1.0,8,8,0
2026-0509-04-01-03-05,08,same,10.1,10.1,1.0,0.078177,0.078177,0.0,1.0,5,5,0
2026-0509-04-01-03-05,09,same,94.3,94.3,1.0,0.008373,0.008373,0.0,1.0,16,16,0
2026-0509-04-01-03-05,10,same,6.1,6.1,1.0,0.129441,0.129441,0.0,1.0,2,2,1
2026-0509-04-01-03-05,11,same,65.4,65.4,1.0,0.012073,0.012073,0.0,1.0,14,14,0
2026-0509-04-01-03-05,12,same,6.9,6.9,1.0,0.114434,0.114434,0.0,1.0,3,3,0
2026-0509-04-01-03-05,13,same,9.7,9.7,1.0,0.081401,0.081401,0.0,1.0,4,4,0
2026-0509-04-01-03-05,14,same,59.7,59.7,1.0,0.013226,0.013226,0.0,1.0,13,13,0
2026-0509-04-01-03-05,15,same,85.1,85.1,1.0,0.009278,0.009278,0.0,1.0,15,15,0
2026-0509-04-01-03-05,16,same,2.8,2.8,1.0,0.281997,0.281997,0.0,1.0,1,1,0
2026-0509-04-01-03-06,01,same,110.3,110.3,1.0,0.007172,0.007172,0.0,1.0,14,14,0
2026-0509-04-01-03-06,02,same,52.0,52.0,1.0,0.015213,0.015213,0.0,1.0,13,13,0
2026-0509-04-01-03-06,03,same,39.2,39.2,1.0,0.02018,0.02018,0.0,1.0,11,11,0
2026-0509-04-01-03-06,04,same,21.8,21.8,1.0,0.036287,0.036287,0.0,1.0,9,9,0
2026-0509-04-01-03-06,05,same,12.6,12.6,1.0,0.062783,0.062783,0.0,1.0,7,7,0
2026-0509-04-01-03-06,06,same,18.3,18.3,1.0,0.043228,0.043228,0.0,1.0,8,8,0
2026-0509-04-01-03-06,07,same,140.9,140.9,1.0,0.005614,0.005614,0.0,1.0,16,16,0
2026-0509-04-01-03-06,08,same,29.8,29.8,1.0,0.026546,0.026546,0.0,1.0,10,10,0
2026-0509-04-01-03-06,09,same,4.4,4.4,1.0,0.179788,0.179788,0.0,1.0,1,1,0
2026-0509-04-01-03-06,10,same,47.4,47.4,1.0,0.016689,0.016689,0.0,1.0,12,12,0
2026-0509-04-01-03-06,11,same,9.7,9.7,1.0,0.081553,0.081553,0.0,1.0,5,5,0
2026-0509-04-01-03-06,12,same,5.1,5.1,1.0,0.155111,0.155111,0.0,1.0,2,2,0
2026-0509-04-01-03-06,13,same,5.2,5.2,1.0,0.152128,0.152128,0.0,1.0,3,3,0
2026-0509-04-01-03-06,14,same,6.4,6.4,1.0,0.123604,0.123604,0.0,1.0,4,4,0
2026-0509-04-01-03-06,15,same,11.8,11.8,1.0,0.06704,0.06704,0.0,1.0,6,6,1
2026-0509-04-01-03-06,16,same,112.0,112.0,1.0,0.007063,0.007063,0.0,1.0,15,15,0
2026-0509-04-01-03-07,01,same,51.0,51.0,1.0,0.015612,0.015612,0.0,1.0,13,13,0
2026-0509-04-01-03-07,02,same,29.6,29.6,1.0,0.0269,0.0269,0.0,1.0,9,9,0
2026-0509-04-01-03-07,03,same,9.0,9.0,1.0,0.08847,0.08847,0.0,1.0,4,4,0
2026-0509-04-01-03-07,04,same,14.3,14.3,1.0,0.05568,0.05568,0.0,1.0,7,7,0
2026-0509-04-01-03-07,05,same,38.8,38.8,1.0,0.020521,0.020521,0.0,1.0,11,11,0
2026-0509-04-01-03-07,06,same,27.3,27.3,1.0,0.029166,0.029166,0.0,1.0,8,8,0
2026-0509-04-01-03-07,07,same,12.0,12.0,1.0,0.066352,0.066352,0.0,1.0,6,6,0
2026-0509-04-01-03-07,08,same,11.8,11.8,1.0,0.067477,0.067477,0.0,1.0,5,5,0
