  progress: 29 races, 29 picks, 0 tentative, 61s elapsed
  progress: 61 races, 61 picks, 0 tentative, 123s elapsed
  progress: 97 races, 97 picks, 0 tentative, 187s elapsed
  progress: 126 races, 126 picks, 0 tentative, 248s elapsed
  progress: 160 races, 160 picks, 0 tentative, 308s elapsed
  progress: 194 races, 194 picks, 0 tentative, 369s elapsed
  progress: 229 races, 229 picks, 0 tentative, 431s elapsed
  progress: 266 races, 266 picks, 0 tentative, 492s elapsed
  progress: 304 races, 304 picks, 0 tentative, 552s elapsed
  progress: 343 races, 343 picks, 0 tentative, 613s elapsed
  progress: 377 races, 377 picks, 0 tentative, 673s elapsed
  progress: 407 races, 407 picks, 0 tentative, 735s elapsed
  progress: 444 races, 444 picks, 0 tentative, 796s elapsed
  progress: 481 races, 481 picks, 0 tentative, 857s elapsed
  progress: 517 races, 517 picks, 0 tentative, 917s elapsed
  progress: 554 races, 554 picks, 0 tentative, 978s elapsed
  progress: 590 races, 590 picks, 0 tentative, 1038s elapsed
  progress: 627 races, 627 picks, 0 tentative, 1098s elapsed
  progress: 665 races, 665 picks, 0 tentative, 1160s elapsed
  progress: 705 races, 705 picks, 0 tentative, 1220s elapsed
  progress: 742 races, 742 picks, 0 tentative, 1282s elapsed
  progress: 778 races, 778 picks, 0 tentative, 1342s elapsed
  progress: 815 races, 815 picks, 0 tentative, 1403s elapsed
  progress: 859 races, 859 picks, 0 tentative, 1463s elapsed
  progress: 896 races, 896 picks, 0 tentative, 1524s elapsed
  progress: 932 races, 932 picks, 0 tentative, 1586s elapsed
  progress: 969 races, 969 picks, 0 tentative, 1647s elapsed
  progress: 1006 races, 1006 picks, 0 tentative, 1707s elapsed
  progress: 1042 races, 1042 picks, 0 tentative, 1770s elapsed
  progress: 1081 races, 1081 picks, 0 tentative, 1835s elapsed
  progress: 1118 races, 1118 picks, 0 tentative, 1895s elapsed
  progress: 1153 races, 1153 picks, 0 tentative, 1959s elapsed
  progress: 1188 races, 1188 picks, 0 tentative, 2020s elapsed
  progress: 1224 races, 1224 picks, 0 tentative, 2080s elapsed
  progress: 1261 races, 1261 picks, 0 tentative, 2142s elapsed
  progress: 1303 races, 1303 picks, 0 tentative, 2202s elapsed
  progress: 1342 races, 1342 picks, 0 tentative, 2263s elapsed
  progress: 1381 races, 1381 picks, 0 tentative, 2325s elapsed
  progress: 1418 races, 1418 picks, 0 tentative, 2385s elapsed
  progress: 1453 races, 1453 picks, 0 tentative, 2446s elapsed
  progress: 1486 races, 1486 picks, 0 tentative, 2506s elapsed
  progress: 1522 races, 1522 picks, 0 tentative, 2567s elapsed
  progress: 1563 races, 1563 picks, 0 tentative, 2628s elapsed
  progress: 1597 races, 1597 picks, 0 tentative, 2688s elapsed
  progress: 1634 races, 1634 picks, 0 tentative, 2748s elapsed
  progress: 1672 races, 1672 picks, 0 tentative, 2808s elapsed
  progress: 1715 races, 1715 picks, 0 tentative, 2870s elapsed
  progress: 1753 races, 1753 picks, 0 tentative, 2934s elapsed
  progress: 1797 races, 1797 picks, 0 tentative, 2994s elapsed
  progress: 1837 races, 1837 picks, 0 tentative, 3057s elapsed
  progress: 1881 races, 1881 picks, 0 tentative, 3117s elapsed
  progress: 1921 races, 1921 picks, 0 tentative, 3177s elapsed
  progress: 1960 races, 1960 picks, 0 tentative, 3239s elapsed
  progress: 2003 races, 2003 picks, 0 tentative, 3300s elapsed
  progress: 2044 races, 2044 picks, 0 tentative, 3360s elapsed
  progress: 2085 races, 2085 picks, 0 tentative, 3421s elapsed
  progress: 2125 races, 2125 picks, 0 tentative, 3481s elapsed
  progress: 2168 races, 2168 picks, 0 tentative, 3543s elapsed
  progress: 2205 races, 2205 picks, 0 tentative, 3603s elapsed
  progress: 2245 races, 2245 picks, 0 tentative, 3667s elapsed
  progress: 2286 races, 2286 picks, 0 tentative, 3728s elapsed
  progress: 2326 races, 2326 picks, 0 tentative, 3789s elapsed
  progress: 2365 races, 2365 picks, 0 tentative, 3852s elapsed
  progress: 2407 races, 2407 picks, 0 tentative, 3912s elapsed
  progress: 2448 races, 2448 picks, 0 tentative, 3973s elapsed
  progress: 2488 races, 2488 picks, 0 tentative, 4033s elapsed
  progress: 2523 races, 2523 picks, 0 tentative, 4094s elapsed
  progress: 2560 races, 2560 picks, 0 tentative, 4155s elapsed
  progress: 2595 races, 2595 picks, 0 tentative, 4215s elapsed
  progress: 2629 races, 2629 picks, 0 tentative, 4275s elapsed
  progress: 2662 races, 2662 picks, 0 tentative, 4336s elapsed
  progress: 2701 races, 2701 picks, 0 tentative, 4400s elapsed
  progress: 2736 races, 2736 picks, 0 tentative, 4461s elapsed
  progress: 2773 races, 2773 picks, 0 tentative, 4522s elapsed
  progress: 2818 races, 2818 picks, 0 tentative, 4584s elapsed
  progress: 2857 races, 2857 picks, 0 tentative, 4647s elapsed
  progress: 2896 races, 2896 picks, 0 tentative, 4708s elapsed
  progress: 2934 races, 2934 picks, 0 tentative, 4769s elapsed
  progress: 2977 races, 2977 picks, 0 tentative, 4833s elapsed
  progress: 3013 races, 3013 picks, 0 tentative, 4893s elapsed
  progress: 3050 races, 3050 picks, 0 tentative, 4954s elapsed
  progress: 3089 races, 3089 picks, 0 tentative, 5015s elapsed
  progress: 3121 races, 3121 picks, 0 tentative, 5078s elapsed
  progress: 3157 races, 3157 picks, 0 tentative, 5143s elapsed
  progress: 3191 races, 3191 picks, 0 tentative, 5204s elapsed
  progress: 3223 races, 3223 picks, 0 tentative, 5266s elapsed
  progress: 3265 races, 3265 picks, 0 tentative, 5327s elapsed
  progress: 3305 races, 3305 picks, 0 tentative, 5387s elapsed
  progress: 3348 races, 3348 picks, 0 tentative, 5447s elapsed
  progress: 3384 races, 3384 picks, 0 tentative, 5508s elapsed
  progress: 3421 races, 3421 picks, 0 tentative, 5572s elapsed
  progress: 3455 races, 3455 picks, 0 tentative, 5633s elapsed
  progress: 3493 races, 3493 picks, 0 tentative, 5697s elapsed
  progress: 3527 races, 3527 picks, 0 tentative, 5758s elapsed
  progress: 3563 races, 3563 picks, 0 tentative, 5819s elapsed
  progress: 3593 races, 3593 picks, 0 tentative, 5881s elapsed
  progress: 3628 races, 3628 picks, 0 tentative, 5941s elapsed
