date,track_code,race_num,grade_code,top_horse_num,top_rank,top_mark,p_win,p_raw_blended,ev,kelly,confidence,odds,popularity,tm_score,tm_rank,dm_rank,tan_payout,fuku_payout,y_win
20250105,06,01,,08,1,◎,0.178100,0.301734,0.000000,0.000000,接戦,0.00,9,3680,12,9,0,0,0
20250105,06,02,,03,1,◎,0.084800,0.219363,4.283000,0.066300,接戦,50.50,15,2530,14,14,0,0,0
20250105,06,03,,06,1,◎,0.093100,0.137967,0.651000,0.000000,混戦,7.00,71,3380,15,16,0,0,0
20250105,06,04,,01,1,◎,0.251500,0.342819,7.621000,0.226000,標準,30.30,3,6360,2,2,570,260,1
20250105,06,05,,13,1,◎,0.225400,0.427755,0.338000,0.000000,接戦,1.50,15,4550,10,9,0,0,0
20250105,06,06,,14,1,◎,0.085600,0.159503,1.036000,0.003300,混戦,12.10,20,4420,12,13,0,0,0
20250105,06,07,,09,1,◎,0.126700,0.236290,1.406000,0.040200,接戦,11.10,31,4460,13,10,0,0,0
20250105,06,08,,02,1,◎,0.097900,0.215174,0.000000,0.000000,混戦,0.00,1,3310,13,16,0,0,0
20250105,06,09,E,08,1,◎,0.110700,0.192686,3.354000,0.080300,接戦,30.30,3,3590,13,12,0,0,0
20250105,06,10,0,01,1,◎,0.251500,0.365321,152.381000,0.250200,標準,606.00,11,6520,3,5,0,0,0
20250105,06,11,?,06,1,◎,0.084800,0.259524,7.721000,0.074700,接戦,91.00,11,4060,14,17,0,0,0
20250105,06,12,,14,1,◎,0.223300,0.261972,1.117000,0.029100,接戦,5.00,50,7060,2,1,0,0,0
20250105,07,01,,14,1,◎,0.046000,0.219124,5.113000,0.037400,混戦,111.10,10,5080,8,6,0,0,0
20250105,07,02,,11,1,◎,0.105400,0.181088,0.000000,0.000000,混戦,0.00,2,7250,5,1,0,0,0
20250105,07,03,,05,1,◎,0.061800,0.231684,1.248000,0.012900,混戦,20.20,3,8360,1,3,150,110,1
20250105,07,04,,05,1,◎,0.179100,0.302823,1.809000,0.088900,接戦,10.10,0,6340,2,2,0,170,0
20250105,07,05,,09,1,◎,0.078400,0.185163,3.951000,0.059700,接戦,50.40,6,5600,4,5,0,0,0
20250105,07,06,,08,1,◎,0.313200,0.262898,0.626000,0.000000,混戦,2.00,20,6130,3,12,0,150,0
20250105,07,07,,03,1,◎,0.106000,0.576743,4.281000,0.083300,接戦,40.40,4,6940,2,6,0,0,0
20250105,07,08,,06,1,◎,0.097200,0.514978,0.000000,0.000000,混戦,0.00,0,2910,15,15,0,0,0
20250105,07,09,f,10,1,◎,0.065400,0.258420,3.309000,0.046500,混戦,50.60,6,5470,5,8,0,0,0
20250105,07,10,E,10,1,◎,0.178100,0.326916,0.000000,0.000000,接戦,0.00,2,5860,3,7,470,210,1
20250105,07,11,?,08,1,◎,0.109900,0.108272,0.000000,0.000000,混戦,0.30,3,4320,10,12,0,0,0
20250105,07,12,,04,1,◎,0.374600,0.457342,0.599000,0.000000,標準,1.60,16,2900,15,15,0,0,0
20250106,06,01,,16,1,◎,0.102800,0.223643,0.000000,0.000000,混戦,0.00,2,4750,9,6,0,560,0
20250106,06,02,,12,1,◎,0.100200,0.616022,1.614000,0.040600,接戦,16.10,61,4190,10,8,0,0,0
20250106,06,03,,05,1,◎,0.211100,0.258927,0.422000,0.000000,接戦,2.00,20,4510,10,13,0,0,0
20250106,06,04,,16,1,◎,0.097900,0.202354,0.000000,0.000000,混戦,0.00,3,4990,10,10,0,0,0
20250106,06,05,,15,1,◎,0.059400,0.174875,17.933000,0.056300,混戦,302.00,34,5620,4,13,0,0,0
20250106,06,06,,05,1,◎,0.076400,0.215090,13.885000,0.071300,接戦,181.80,17,4060,13,12,0,0,0
20250106,06,07,,06,1,◎,0.116600,0.286981,2.356000,0.070600,接戦,20.20,2,3770,10,10,0,0,0
20250106,06,08,�,02,1,◎,0.174300,0.492057,22.864000,0.167900,標準,131.20,13,0,0,14,0,0,0
20250106,06,09,0,13,1,◎,0.068700,0.172664,5.543000,0.057000,混戦,80.70,7,6330,5,3,0,0,0
20250106,06,10,g,15,1,◎,0.090100,0.251462,7.293000,0.078800,接戦,80.90,16,3480,11,13,0,0,0
20250106,06,11,g,16,1,◎,0.389800,0.302642,5.887000,0.346600,標準,15.10,30,5490,7,1,0,0,0
20250106,06,12,,02,1,◎,0.091000,0.325212,12.879000,0.084500,接戦,141.50,13,2870,15,14,0,0,0
20250106,07,01,,16,1,◎,0.044300,0.359254,5.813000,0.037000,混戦,131.20,2,3880,12,9,0,0,0
20250106,07,02,,13,1,◎,0.108600,0.183258,0.000000,0.000000,混戦,0.00,8,2340,15,13,0,0,0
20250106,07,03,,01,1,◎,0.115200,0.183813,0.000000,0.000000,混戦,0.00,0,4800,9,6,0,0,0
20250106,07,04,,07,1,◎,0.104100,0.276236,6.310000,0.089100,接戦,60.60,7,6290,3,4,0,0,0
20250106,07,05,,10,1,◎,0.083200,0.283650,2.530000,0.052100,接戦,30.40,3,5530,8,13,0,740,0
20250106,07,06,,18,1,◎,0.087300,0.511989,0.000000,0.000000,混戦,0.00,0,7270,1,2,0,0,0
20250106,07,07,,06,1,◎,0.123400,0.298630,2.492000,0.077700,標準,20.20,1,4380,10,12,0,0,0
20250106,07,08,,02,1,◎,0.220100,0.447773,46.652000,0.216400,標準,212.00,57,6010,6,8,0,0,0
20250106,07,09,?,03,1,◎,0.106000,0.575883,12.844000,0.098500,標準,121.20,11,6350,2,2,0,0,0
20250106,07,10,E,10,1,◎,0.198800,0.327629,14.052000,0.187300,標準,70.70,8,4680,11,16,0,0,0
20250106,07,11,E,10,1,◎,0.088600,0.229468,18.516000,0.084200,接戦,209.00,70,5770,7,10,0,0,0
20250106,07,12,,11,1,◎,0.272700,0.305282,0.327000,0.000000,接戦,1.20,12,3370,13,13,0,0,0
20250111,06,01,,08,1,◎,0.121200,0.449981,0.000000,0.000000,接戦,0.00,11,6350,4,10,0,0,0
20250111,06,02,,02,1,◎,0.187800,0.306075,3.794000,0.145500,接戦,20.20,2,6930,4,5,0,0,0
20250111,06,03,,01,1,◎,0.102400,0.236329,5.169000,0.084200,接戦,50.50,8,4860,8,7,0,0,0
20250111,06,04,,03,1,◎,0.121200,0.398456,0.000000,0.000000,接戦,0.00,1,6780,1,9,0,180,0
20250111,06,05,,10,1,◎,0.113000,0.115687,1.141000,0.015500,混戦,10.10,1,5350,7,12,0,0,0
20250111,06,06,,08,1,◎,0.060800,0.616022,6.145000,0.051400,接戦,101.00,2,6810,2,4,230,130,1
20250111,06,07,,01,1,◎,0.153600,0.221634,0.000000,0.000000,接戦,0.70,6,5470,9,7,0,0,0
20250111,06,08,,10,1,◎,0.225600,0.217951,0.000000,0.000000,接戦,0.00,10,4540,10,8,0,0,0
20250111,06,09,0,09,1,◎,0.123400,0.686876,24.795000,0.119000,標準,201.00,2,5720,4,1,280,150,1
20250111,06,10,g,07,1,◎,0.118600,0.187323,36.652000,0.115800,接戦,309.00,90,6110,6,3,0,0,0
20250111,06,11,E,07,1,◎,0.203800,0.215640,1.019000,0.004700,混戦,5.00,50,4890,10,5,0,0,0
20250111,06,12,,01,1,◎,0.235600,0.323708,0.000000,0.000000,接戦,0.30,3,5960,3,6,0,130,0
20250111,07,01,,01,1,◎,0.037300,0.285283,4.903000,0.030000,混戦,131.30,1,7270,1,1,990,240,1
20250111,07,02,,10,1,◎,0.153600,0.180811,0.000000,0.000000,接戦,0.00,1,4620,8,9,0,0,0
20250111,07,03,,01,1,◎,0.096100,0.302860,8.738000,0.086100,接戦,90.90,8,3550,13,16,0,0,0
20250111,07,04,,13,1,◎,0.490700,0.549384,0.000000,0.000000,標準,0.00,2,6630,3,2,0,0,0
20250111,07,05,,09,1,◎,0.057700,0.416272,3.494000,0.041900,接戦,60.60,9,5550,8,1,690,240,1
20250111,07,06,,02,1,◎,0.219500,1.000000,11.043000,0.203700,標準,50.30,36,3540,6,5,0,0,0
20250111,07,07,,13,1,◎,0.247700,0.476622,1.982000,0.140300,標準,8.00,48,4330,13,6,0,0,0
20250111,07,08,0,07,1,◎,0.124500,0.332655,5.029000,0.102200,接戦,40.40,3,0,0,1,220,120,1
