date,track_code,race_num,grade_code,tentative,top_horse_num,top_rank,top_has_mark,p_win,p_raw_blended,ev,odds,y_top_is_winner,tan_payout_if_bet
20250105,06,01,,0,08,1,1,0.178100,0.301734,0.000000,0.00,0,0
20250105,06,02,,0,03,1,1,0.084800,0.219363,4.283000,50.50,0,0
20250105,06,03,,0,06,1,1,0.093100,0.137967,0.651000,7.00,0,0
20250105,06,04,,0,01,1,1,0.251500,0.342819,7.621000,30.30,1,570
20250105,06,05,,0,13,1,1,0.225400,0.427755,0.338000,1.50,0,0
20250105,06,06,,0,14,1,1,0.085600,0.159503,1.036000,12.10,0,0
20250105,06,07,,0,09,1,1,0.126700,0.236290,1.406000,11.10,0,0
20250105,06,08,,0,02,1,1,0.097900,0.215174,0.000000,0.00,0,0
20250105,06,09,E,0,08,1,1,0.110700,0.192686,3.354000,30.30,0,0
20250105,06,10,0,0,01,1,1,0.251500,0.365321,152.381000,606.00,0,0
20250105,06,11,?,0,06,1,1,0.084800,0.259524,7.721000,91.00,0,0
20250105,06,12,,0,14,1,1,0.223300,0.261972,1.117000,5.00,0,0
20250105,07,01,,0,14,1,1,0.046000,0.219124,5.113000,111.10,0,0
20250105,07,02,,0,11,1,1,0.105400,0.181088,0.000000,0.00,0,0
20250105,07,03,,0,05,1,1,0.061800,0.231684,1.248000,20.20,1,150
20250105,07,04,,0,05,1,1,0.179100,0.302823,1.809000,10.10,0,0
20250105,07,05,,0,09,1,1,0.078400,0.185163,3.951000,50.40,0,0
20250105,07,06,,0,08,1,1,0.313200,0.262898,0.626000,2.00,0,0
20250105,07,07,,0,03,1,1,0.106000,0.576743,4.281000,40.40,0,0
20250105,07,08,,0,06,1,1,0.097200,0.514978,0.000000,0.00,0,0
20250105,07,09,f,0,10,1,1,0.065400,0.258420,3.309000,50.60,0,0
20250105,07,10,E,0,10,1,1,0.178100,0.326916,0.000000,0.00,1,470
20250105,07,11,?,0,08,1,1,0.109900,0.108272,0.000000,0.30,0,0
20250105,07,12,,0,04,1,1,0.374600,0.457342,0.599000,1.60,0,0
20250106,06,01,,0,16,1,1,0.102800,0.223643,0.000000,0.00,0,0
20250106,06,02,,0,12,1,1,0.100200,0.616022,1.614000,16.10,0,0
20250106,06,03,,0,05,1,1,0.211100,0.258927,0.422000,2.00,0,0
20250106,06,04,,0,16,1,1,0.097900,0.202354,0.000000,0.00,0,0
20250106,06,05,,0,15,1,1,0.059400,0.174875,17.933000,302.00,0,0
20250106,06,06,,0,05,1,1,0.076400,0.215090,13.885000,181.80,0,0
20250106,06,07,,0,06,1,1,0.116600,0.286981,2.356000,20.20,0,0
20250106,06,08,�,0,02,1,1,0.174300,0.492057,22.864000,131.20,0,0
20250106,06,09,0,0,13,1,1,0.068700,0.172664,5.543000,80.70,0,0
20250106,06,10,g,0,15,1,1,0.090100,0.251462,7.293000,80.90,0,0
20250106,06,11,g,0,16,1,1,0.389800,0.302642,5.887000,15.10,0,0
20250106,06,12,,0,02,1,1,0.091000,0.325212,12.879000,141.50,0,0
20250106,07,01,,0,16,1,1,0.044300,0.359254,5.813000,131.20,0,0
20250106,07,02,,0,13,1,1,0.108600,0.183258,0.000000,0.00,0,0
20250106,07,03,,0,01,1,1,0.115200,0.183813,0.000000,0.00,0,0
20250106,07,04,,0,07,1,1,0.104100,0.276236,6.310000,60.60,0,0
20250106,07,05,,0,10,1,1,0.083200,0.283650,2.530000,30.40,0,0
20250106,07,06,,0,18,1,1,0.087300,0.511989,0.000000,0.00,0,0
20250106,07,07,,0,06,1,1,0.123400,0.298630,2.492000,20.20,0,0
20250106,07,08,,0,02,1,1,0.220100,0.447773,46.652000,212.00,0,0
20250106,07,09,?,0,03,1,1,0.106000,0.575883,12.844000,121.20,0,0
20250106,07,10,E,0,10,1,1,0.198800,0.327629,14.052000,70.70,0,0
20250106,07,11,E,0,10,1,1,0.088600,0.229468,18.516000,209.00,0,0
20250106,07,12,,0,11,1,1,0.272700,0.305282,0.327000,1.20,0,0
20250111,06,01,,0,08,1,1,0.121200,0.449981,0.000000,0.00,0,0
20250111,06,02,,0,02,1,1,0.187800,0.306075,3.794000,20.20,0,0
20250111,06,03,,0,01,1,1,0.102400,0.236329,5.169000,50.50,0,0
20250111,06,04,,0,03,1,1,0.121200,0.398456,0.000000,0.00,0,0
20250111,06,05,,0,10,1,1,0.113000,0.115687,1.141000,10.10,0,0
20250111,06,06,,0,08,1,1,0.060800,0.616022,6.145000,101.00,1,230
20250111,06,07,,0,01,1,1,0.153600,0.221634,0.000000,0.70,0,0
20250111,06,08,,0,10,1,1,0.225600,0.217951,0.000000,0.00,0,0
20250111,06,09,0,0,09,1,1,0.123400,0.686876,24.795000,201.00,1,280
20250111,06,10,g,0,07,1,1,0.118600,0.187323,36.652000,309.00,0,0
20250111,06,11,E,0,07,1,1,0.203800,0.215640,1.019000,5.00,0,0
20250111,06,12,,0,01,1,1,0.235600,0.323708,0.000000,0.30,0,0
20250111,07,01,,0,01,1,1,0.037300,0.285283,4.903000,131.30,1,990
20250111,07,02,,0,10,1,1,0.153600,0.180811,0.000000,0.00,0,0
20250111,07,03,,0,01,1,1,0.096100,0.302860,8.738000,90.90,0,0
20250111,07,04,,0,13,1,1,0.490700,0.549384,0.000000,0.00,0,0
20250111,07,05,,0,09,1,1,0.057700,0.416272,3.494000,60.60,1,690
20250111,07,06,,0,02,1,1,0.219500,1.000000,11.043000,50.30,0,0
20250111,07,07,,0,13,1,1,0.247700,0.476622,1.982000,8.00,0,0
20250111,07,08,0,0,07,1,1,0.124500,0.332655,5.029000,40.40,1,220
20250111,07,09,?,0,10,1,1,0.067400,1.000000,0.404000,6.00,0,0
20250111,07,10,?,0,06,1,1,0.179700,0.324548,21.817000,121.40,0,0
20250111,07,11,L,0,12,1,1,0.187900,0.542081,0.000000,0.00,0,0
20250111,07,12,,0,08,1,1,0.280300,0.277650,0.308000,1.10,0,0
20250112,06,01,,0,01,1,1,0.354100,0.363399,0.000000,0.00,0,0
20250112,06,02,,0,08,1,1,0.044500,0.225825,4.947000,111.20,0,0
20250112,06,03,,0,03,1,1,0.210700,0.298624,0.000000,0.00,0,0
20250112,06,04,,0,06,1,1,0.126100,0.138638,0.757000,6.00,0,0
20250112,06,05,,0,14,1,1,0.165300,0.411047,5.008000,30.30,0,0
20250112,06,06,,0,01,1,1,0.162200,0.217153,0.000000,0.00,0,0
20250112,06,07,,0,09,1,1,0.106100,0.173181,85.811000,809.10,0,0
20250112,06,08,,0,05,1,1,0.054300,0.194864,5.484000,101.00,0,0
20250112,06,09,0,0,02,1,1,0.070500,0.425936,5.704000,80.90,0,0
20250112,06,10,E,0,09,1,1,0.050100,0.545414,5.566000,111.10,0,0
20250112,06,11,C,0,12,1,1,0.074200,0.192292,2.248000,30.30,1,590
20250112,06,12,,0,14,1,1,0.176500,0.311435,0.000000,0.00,0,0
20250112,07,01,,0,11,1,1,0.075200,0.366662,1.060000,14.10,0,0
20250112,07,02,,0,12,1,1,0.131500,0.322011,0.000000,0.00,0,0
20250112,07,03,,0,02,1,1,0.162400,0.286725,0.000000,0.00,0,0
20250112,07,04,,0,08,1,1,0.194600,0.394343,0.973000,5.00,0,0
20250112,07,05,,0,06,1,1,0.124400,0.364685,0.622000,5.00,0,0
20250112,07,06,,0,07,1,1,0.125800,0.158267,0.629000,5.00,0,0
20250112,07,07,,0,01,1,1,0.092600,0.333333,0.000000,0.00,0,0
20250112,07,08,,0,02,1,1,0.187900,0.501466,0.000000,0.00,0,0
20250112,07,09,?,0,03,1,1,0.051800,1.000000,2.614000,50.50,1,140
20250112,07,10,E,0,03,1,1,0.067800,0.462537,27.442000,405.00,0,0
20250112,07,11,Z,0,05,1,1,0.221000,0.242929,0.000000,0.00,0,0
20250112,07,12,,0,03,1,1,0.086800,0.363707,0.000000,0.00,0,0
20250113,06,01,,0,16,1,1,0.164100,0.192535,0.000000,0.00,0,0
20250113,06,02,,0,13,1,1,0.042100,0.285507,2.127000,50.50,0,0
20250113,06,03,,0,07,1,1,0.066600,0.355843,6.722000,101.00,0,0
20250113,06,04,,0,03,1,1,0.250700,0.363352,2.557000,10.20,0,0
20250113,06,05,,0,06,1,1,0.294800,0.212572,0.472000,1.60,0,0
20250113,06,06,,0,06,1,1,0.080300,0.233722,40.396000,503.00,0,0
20250113,06,07,,0,08,1,1,0.135300,0.578009,0.000000,0.00,0,0
20250113,06,08,,0,07,1,1,0.118200,0.303628,16.712000,141.40,0,0
20250113,06,09,�,0,16,1,1,0.168600,0.382721,5.108000,30.30,0,0
20250113,06,10,0,0,14,1,1,0.117700,0.162810,0.000000,0.00,0,0
20250113,06,11,0,0,12,1,1,0.115300,0.294332,0.000000,0.10,0,0
20250113,06,12,,0,10,1,1,0.112400,0.127336,0.000000,0.00,0,0
20250113,07,01,,0,04,1,1,0.083700,0.231424,1.690000,20.20,0,0
20250113,07,02,,0,12,1,1,0.091900,0.405053,83.589000,909.10,0,0
20250113,07,03,,0,10,1,1,0.211000,0.363024,10.676000,50.60,0,0
20250113,07,04,,0,05,1,1,0.103000,0.567783,0.000000,0.00,0,0
20250113,07,05,,0,04,1,1,0.083000,0.207855,4.201000,50.60,0,0
20250113,07,06,,0,03,1,1,0.127900,0.452440,0.000000,0.00,0,0
20250113,07,07,,0,14,1,1,0.111400,0.343364,1.571000,14.10,0,0
20250113,07,08,,0,06,1,1,0.121200,0.384972,0.000000,1.00,0,0
20250113,07,09,f,0,13,1,1,0.119800,0.275459,0.000000,0.00,0,0
20250113,07,10,0,0,07,1,1,0.172800,0.462353,24.198000,140.00,0,0
20250113,07,11,�,0,03,1,1,0.127700,0.460331,0.000000,0.70,0,0
20250113,07,12,,0,03,1,1,0.109500,0.503750,0.000000,0.00,0,0
20250118,06,01,,0,12,1,1,0.292500,0.466703,0.000000,0.00,1,160
20250118,06,02,,0,03,1,1,0.212600,0.329921,2.147000,10.10,0,0
20250118,06,03,,0,14,1,1,0.050400,0.158149,6.103000,121.20,0,0
20250118,06,04,,0,07,1,1,0.070100,0.257666,56.706000,809.00,0,0
20250118,06,05,,0,12,1,1,0.168900,0.279678,0.338000,2.00,0,0
20250118,06,06,,0,14,1,1,0.206000,0.330497,0.000000,0.00,0,0
20250118,06,07,,0,01,1,1,0.072800,0.492503,5.892000,80.90,0,0
20250118,06,08,,0,16,1,1,0.181600,0.373851,0.000000,0.00,0,0
20250118,06,09,0,0,13,1,1,0.121200,0.384996,0.000000,0.00,0,0
20250118,06,10,L,0,15,1,1,0.083700,0.307501,0.846000,10.10,0,0
20250118,06,11,0,0,13,1,1,0.176500,0.309219,0.000000,0.00,1,4120
20250118,06,12,,0,13,1,1,0.062100,0.258649,8.782000,141.50,0,0
20250118,07,01,,0,09,1,1,0.089300,0.338401,81.121000,908.00,0,0
20250118,07,02,,0,10,1,1,0.074200,0.567568,2.249000,30.30,0,0
20250118,07,03,,0,11,1,1,0.097200,0.529223,0.000000,0.00,0,0
20250118,07,04,,0,10,1,1,0.092400,0.263027,3.733000,40.40,1,1110
20250118,07,05,,0,15,1,1,0.102700,0.194727,9.335000,90.90,1,530
20250118,07,06,,0,07,1,1,0.154000,0.175075,0.000000,0.20,0,0
20250118,07,07,,0,07,1,1,0.047600,0.275372,10.081000,212.00,0,0
20250118,07,08,,0,16,1,1,0.132100,0.709349,13.232000,100.20,0,0
20250118,07,09,h,0,16,1,1,0.083600,0.147908,0.836000,10.00,0,0
