filter,2025H1_bets,2025H1_hit_rate,2025H1_return_rate,2025H1_lo,2025H2_bets,2025H2_hit_rate,2025H2_return_rate,2025H2_lo,2026P_bets,2026P_hit_rate,2026P_return_rate,2026P_lo,min_return,min_lo,robust_3fold
dm_rank_1_3,377,18.6,82.8,55.1,451,17.7,75.2,54.3,372,16.1,76.5,53.4,75.2,53.4,n
tm_rank_1_3,382,23.0,88.3,67.3,437,19.7,74.1,57.8,355,17.2,68.2,51.0,68.2,51.0,n
tm_rank_1_3_ev_ge_105,186,26.9,106.3,73.8,225,17.3,66.0,44.0,149,16.8,71.5,44.9,66.0,44.0,n
dm_rank_1,134,30.6,94.2,64.8,141,22.0,62.3,39.3,142,19.0,62.7,38.2,62.3,38.2,n
tm_score_ge_700,1663,8.2,77.5,51.3,1665,8.3,90.7,61.6,1218,8.0,55.6,37.8,55.6,37.8,n
tm_score_ge_800,1663,8.2,77.5,51.3,1665,8.3,90.7,61.6,1218,8.0,55.6,37.8,55.6,37.8,n
tm_score_ge_900,1663,8.2,77.5,51.3,1665,8.3,90.7,61.6,1218,8.0,55.6,37.8,55.6,37.8,n
all,1740,7.9,74.9,49.6,1728,8.6,91.0,59.8,1380,7.5,52.1,37.2,52.1,37.2,n
non_wl,1740,7.9,74.9,49.6,1728,8.6,91.0,59.8,1380,7.5,52.1,37.2,52.1,37.2,n
ev_ge_105,845,9.1,73.1,47.6,835,8.7,75.0,45.6,674,6.5,58.9,32.9,58.9,32.9,n
tm_rank_1,123,33.3,85.4,60.9,144,25.0,79.2,54.2,128,18.8,53.5,32.7,53.5,32.7,n
ev_ge_110,838,9.2,73.7,45.8,830,8.8,75.4,49.8,660,6.5,59.2,32.2,59.2,32.2,n
ev_ge_120,827,9.3,74.7,48.1,813,8.7,68.3,45.0,638,6.6,60.1,31.5,60.1,31.5,n
kelly_ge_01,843,9.1,73.3,46.9,829,8.6,66.9,43.8,661,6.8,46.6,31.2,46.6,31.2,n
tm_score_ge_700_ev_ge_110,793,9.5,76.1,47.7,779,8.2,72.4,43.0,601,6.7,61.0,30.9,61.0,30.9,n
only_t04_07_09,76,13.2,78.6,30.0,96,14.6,75.1,31.1,79,21.5,109.1,53.7,75.1,30.0,n
ev_ge_150,783,9.3,69.9,44.9,757,8.2,62.6,37.9,578,6.4,61.0,29.2,61.0,29.2,n
only_t04_09_ev_ge_110,173,8.1,78.6,29.0,175,11.4,114.6,38.1,145,11.0,159.9,51.0,78.6,29.0,n
s6_kelly_03_mp40,790,9.4,69.1,45.0,756,8.5,68.8,44.9,588,6.5,45.1,28.9,45.1,28.9,n
s6_kelly_ge_04,771,9.3,69.0,43.2,751,8.5,66.4,41.9,575,6.4,42.0,27.7,42.0,27.7,n
s6_kelly_ge_03,802,9.2,68.1,44.3,775,8.4,67.4,43.6,604,6.5,44.2,27.6,44.2,27.6,n
only_t04_09,360,7.2,58.4,32.2,396,7.6,60.9,27.3,288,12.2,119.4,55.0,58.4,27.3,n
wl5_pop_1_2,114,17.5,356.5,79.4,143,15.4,151.4,66.5,86,12.8,56.4,27.2,56.4,27.2,n
s6_kelly_04_mp40,759,9.5,70.1,44.0,732,8.6,67.8,43.0,559,6.4,43.0,26.4,43.0,26.4,n
only_t09,264,7.6,63.7,28.7,204,10.3,52.6,25.9,216,13.0,137.2,59.6,52.6,25.9,n
s6_kelly_05_mp40,719,9.7,70.7,44.3,683,8.6,70.7,41.9,509,6.5,41.5,25.6,41.5,25.6,n
s6_kelly_05_mp50,728,9.6,69.8,42.8,699,8.4,69.0,41.7,524,6.5,40.6,25.4,40.6,25.4,n
s6_kelly_08_mp40,510,10.4,81.4,46.3,490,9.0,63.7,39.1,374,6.4,45.2,25.4,45.2,25.4,n
s6_kelly_06_mp40,652,9.4,69.8,41.9,616,8.6,74.1,44.5,466,6.9,41.6,25.0,41.6,25.0,n
