race_id,track_code,race_num,race_name,distance,starter_count,horse_num,horse_name,mark,model_rank_by_mark,morning_odds,morning_popularity,final_odds,final_popularity,market_probability,win_probability,expected_value_morning,confidence,bet_candidate,confirmed_order,win_payout,place_payout,profit_loss_yen_100unit
20260711-02-01,02,01,,1000,10,1,ラピッドテソーロ,,,2.7,2,2.7,2,0.3704,,,,False,1,270,110,0
20260711-02-01,02,01,,1000,10,2,タイガーストリート,,,42.2,7,42.2,7,0.0237,,,,False,4,0,0,0
20260711-02-01,02,01,,1000,10,3,ラストモーメント,,,33.2,6,33.2,6,0.0301,,,,False,6,0,0,0
20260711-02-01,02,01,,1000,10,4,ブルドッグミトス,,,,,,0,,,,,False,0,0,0,0
20260711-02-01,02,01,,1000,10,5,クラウスーラ,◎,1,1.9,1,1.9,1,0.5263,0.252,0.48,接戦,False,2,0,110,0
20260711-02-01,02,01,,1000,10,6,セイウンコハルタ,,,98.3,8,98.3,8,0.0102,,,,False,10,0,0,0
20260711-02-01,02,01,,1000,10,7,ウメヒナタ,▲,3,7.9,3,7.9,3,0.1266,0.098,0.77,接戦,False,7,0,0,0
20260711-02-01,02,01,,1000,10,8,ベイビーブラザー,△,4,19.8,5,19.8,5,0.0505,0.05,0.98,接戦,False,5,0,0,0
20260711-02-01,02,01,,1000,10,9,ロゼハイスクール,☆,5,108.7,10,108.7,10,0.0092,0.1,10.85,接戦,False,9,0,0,0
20260711-02-01,02,01,,1000,10,10,ワイドウィンザー,○,2,9.7,4,9.7,4,0.1031,0.084,0.81,接戦,False,3,0,140,0
20260711-02-01,02,01,,1000,10,11,カクシンゴールド,,,99.9,9,99.9,9,0.01,,,,False,8,0,0,0
20260711-02-02,02,02,,1700,14,1,シルフ,,,39.4,10,39.4,10,0.0254,,,,False,11,0,0,0
20260711-02-02,02,02,,1700,14,2,ワンダーアスク,,,8.5,5,8.5,5,0.1176,,,,False,7,0,0,0
20260711-02-02,02,02,,1700,14,3,タガノシルフィー,△,4,4.9,2,4.9,2,0.2041,0.067,0.33,接戦,False,2,0,220,0
20260711-02-02,02,02,,1700,14,4,フレンチブラッサム,,,9.7,6,9.7,6,0.1031,,,,False,3,0,310,0
20260711-02-02,02,02,,1700,14,5,コイバナ,,,49.2,11,49.2,11,0.0203,,,,False,8,0,0,0
20260711-02-02,02,02,,1700,14,6,マーゴットクリュグ,,,13.8,8,13.8,8,0.0725,,,,False,5,0,0,0
20260711-02-02,02,02,,1700,14,7,サラサチャチャチャ,▲,3,6.0,4,6.0,4,0.1667,0.124,0.74,接戦,False,1,600,160,0
20260711-02-02,02,02,,1700,14,8,メリオルヴィア,,,11.5,7,11.5,7,0.087,,,,False,6,0,0,0
