race_id,track_code,race_num,horse_num,horse_name,confirmed_order
20260718-02-01,02,01,1,サンゴート,8
20260718-02-01,02,01,2,ロジクラウン,1
20260718-02-01,02,01,3,アートオブブライト,3
20260718-02-01,02,01,4,ロードレスポンス,5
20260718-02-01,02,01,5,レインボースター,7
20260718-02-01,02,01,6,イッペイ,2
20260718-02-01,02,01,7,ハイビスカス,6
20260718-02-01,02,01,8,ガーシュウィン,4
20260718-02-02,02,02,1,レディリリス,12
20260718-02-02,02,02,2,メモリーデイズ,1
20260718-02-02,02,02,3,ジェッディンデデン,7
20260718-02-02,02,02,4,ブルーメンフェスト,11
20260718-02-02,02,02,5,チュラヴェール,6
20260718-02-02,02,02,6,メメボス,8
20260718-02-02,02,02,7,ドリームガッサン,2
20260718-02-02,02,02,8,クリーンブーケ,9
20260718-02-02,02,02,9,ジャストキュート,5
20260718-02-02,02,02,10,コシタンタン,4
20260718-02-02,02,02,11,マーマレードスカイ,10
20260718-02-02,02,02,12,ペイシャクロス,3
20260718-02-03,02,03,1,ジャストグレース,8
20260718-02-03,02,03,2,ザンテソーロ,4
20260718-02-03,02,03,3,マーゴットデウス,6
20260718-02-03,02,03,4,ウインガネーシャ,2
20260718-02-03,02,03,5,ハイランダー,5
20260718-02-03,02,03,6,リベンジャー,12
20260718-02-03,02,03,7,エトワールブルー,10
20260718-02-03,02,03,8,リバーソニック,1
20260718-02-03,02,03,9,フェンリル,7
20260718-02-03,02,03,10,ゴールデンボブ,11
20260718-02-03,02,03,11,ポップアップ,3
20260718-02-03,02,03,12,エースオブゴールド,9
20260718-02-04,02,04,1,ニシノオールワン,7
20260718-02-04,02,04,2,イズントイット,6
20260718-02-04,02,04,3,スッサンエア,3
20260718-02-04,02,04,4,シバノパージャン,8
20260718-02-04,02,04,5,レッドアイスピア,2
20260718-02-04,02,04,6,ガルフコースト,5
20260718-02-04,02,04,7,オリヒメボシ,10
20260718-02-04,02,04,8,ホウオウザロイヤル,1
20260718-02-04,02,04,9,エコロデュラン,14
20260718-02-04,02,04,10,メカニックバレエ,9
20260718-02-04,02,04,11,シュヴェスター,13
20260718-02-04,02,04,12,エルファリス,11
20260718-02-04,02,04,13,デルマアサマ,15
20260718-02-04,02,04,14,スノーガーネット,12
20260718-02-04,02,04,15,ココソラーレ,4
20260718-02-04,02,04,16,ヨドノサファイア,16
20260718-02-05,02,05,1,サンオブザサン,8
20260718-02-05,02,05,2,バンダムソレール,2
20260718-02-05,02,05,3,チャーチルデュース,11
20260718-02-05,02,05,4,コウソクユノ,10
20260718-02-05,02,05,5,ディープマウンテン,12
20260718-02-05,02,05,6,イトシサ,3
20260718-02-05,02,05,7,フロムザムーン,5
20260718-02-05,02,05,8,ホウオウライセンス,1
20260718-02-05,02,05,9,ペガサスウィンド,4
20260718-02-05,02,05,10,ダノンアクション,14
20260718-02-05,02,05,11,ルージュプルーヴ,13
20260718-02-05,02,05,12,モンロワイヤル,6
20260718-02-05,02,05,13,レースクイーン,9
20260718-02-05,02,05,14,メイショウセンドウ,7
20260718-02-06,02,06,1,ファインブライト,10
20260718-02-06,02,06,2,トリニタリオ,2
20260718-02-06,02,06,3,ホウショウリュウ,12
20260718-02-06,02,06,4,エイシンリーガル,7
20260718-02-06,02,06,5,テンユウ,9
20260718-02-06,02,06,6,コスモクラシック,3
20260718-02-06,02,06,7,カリドーラ,4
20260718-02-06,02,06,8,ホテルストリート,8
20260718-02-06,02,06,9,イーサンミラー,11
20260718-02-06,02,06,10,グローリーバローズ,5
20260718-02-06,02,06,11,ジュラトリー,6
20260718-02-06,02,06,12,ショウナンマルチ,1
