race_id,track_code,race_num,horse_num,horse_name,final_odds,final_popularity,odds_fetched_at
20260726-01-01,01,01,1,シンゼンノト,18.9,6,2026-07-26T09:50:03
20260726-01-01,01,01,2,イリスロッソ,43.4,9,2026-07-26T09:50:03
20260726-01-01,01,01,3,サンクレセント,14.2,4,2026-07-26T09:50:03
20260726-01-01,01,01,4,サウンドエフォート,25.9,8,2026-07-26T09:50:03
20260726-01-01,01,01,5,ラストモーメント,104.4,11,2026-07-26T09:50:03
20260726-01-01,01,01,6,ワイドウィンザー,4.0,2,2026-07-26T09:50:03
20260726-01-01,01,01,7,リアルクウカイ,20.4,7,2026-07-26T09:50:03
20260726-01-01,01,01,8,グランモンターナ,15.1,5,2026-07-26T09:50:03
20260726-01-01,01,01,9,タイガーストリート,52.4,10,2026-07-26T09:50:03
20260726-01-01,01,01,10,クラウスーラ,1.8,1,2026-07-26T09:50:03
20260726-01-01,01,01,11,パンジャケリー,6.9,3,2026-07-26T09:50:03
20260726-01-01,01,01,12,レジェンドヴァーサ,241.1,12,2026-07-26T09:50:03
20260726-01-02,01,02,1,ラストシャイニー,54.3,8,2026-07-26T10:20:03
20260726-01-02,01,02,2,ビレッジルイーザ,4.5,2,2026-07-26T10:20:03
20260726-01-02,01,02,3,チカマヨルキーナ,141.9,10,2026-07-26T10:20:03
20260726-01-02,01,02,4,ハスカップジャム,73.1,9,2026-07-26T10:20:03
20260726-01-02,01,02,5,ルージュボニート,7.2,4,2026-07-26T10:20:03
20260726-01-02,01,02,6,プルーフリーディン,2.0,1,2026-07-26T10:20:03
20260726-01-02,01,02,7,サマースプラッシュ,30.4,7,2026-07-26T10:20:03
20260726-01-02,01,02,8,ルパピヨンブラン,6.1,3,2026-07-26T10:20:03
20260726-01-02,01,02,9,スリーケイ,15.7,6,2026-07-26T10:20:03
20260726-01-02,01,02,10,ワイルドカグラ,8.9,5,2026-07-26T10:20:03
20260726-01-03,01,03,1,ロンドンプライド,14.8,6,2026-07-26T10:50:03
20260726-01-03,01,03,2,ランスオブラヴ,7.9,4,2026-07-26T10:50:03
20260726-01-03,01,03,3,サトノシュトローム,33.6,9,2026-07-26T10:50:03
20260726-01-03,01,03,4,ロジスカヤ,15.9,7,2026-07-26T10:50:03
20260726-01-03,01,03,5,ティンクルバレット,85.2,15,2026-07-26T10:50:03
20260726-01-03,01,03,6,モノノケ,57.3,12,2026-07-26T10:50:03
20260726-01-03,01,03,7,フリーダムスタイル,22.5,8,2026-07-26T10:50:03
20260726-01-03,01,03,8,ハルヒメ,3.4,1,2026-07-26T10:50:03
20260726-01-03,01,03,9,ユナダイヤ,54.6,10,2026-07-26T10:50:03
20260726-01-03,01,03,10,アンジュラフィーユ,3.5,2,2026-07-26T10:50:03
20260726-01-03,01,03,11,メイショウテンジン,9.5,5,2026-07-26T10:50:03
20260726-01-03,01,03,12,メーテルリンク,65.2,13,2026-07-26T10:50:03
20260726-01-03,01,03,13,ムーンリットレイン,88.6,16,2026-07-26T10:50:03
20260726-01-03,01,03,14,モズヴイ,7.2,3,2026-07-26T10:50:03
20260726-01-03,01,03,15,ガルフコースト,56.6,11,2026-07-26T10:50:03
20260726-01-03,01,03,16,クロノレガリス,75.3,14,2026-07-26T10:50:03
20260726-01-04,01,04,1,タイセイルビー,7.0,5,2026-07-26T11:20:03
20260726-01-04,01,04,2,ケンブリッジ,182.0,10,2026-07-26T11:20:03
20260726-01-04,01,04,3,タイガーゲイト,242.6,11,2026-07-26T11:20:03
20260726-01-04,01,04,4,アンミックス,4.9,3,2026-07-26T11:20:03
20260726-01-04,01,04,5,メイショウタイザン,6.7,4,2026-07-26T11:20:03
20260726-01-04,01,04,6,ショウナンタヅナ,9.0,6,2026-07-26T11:20:03
20260726-01-04,01,04,7,ロスニーニョス,69.1,9,2026-07-26T11:20:03
20260726-01-04,01,04,8,クルビデンス,37.2,8,2026-07-26T11:20:03
20260726-01-04,01,04,9,シンエンドーツダ,3.2,1,2026-07-26T11:20:03
20260726-01-04,01,04,10,セラサイト,3.8,2,2026-07-26T11:20:03
20260726-01-04,01,04,11,ホウオウショパン,27.1,7,2026-07-26T11:20:03
20260726-01-05,01,05,1,ジャストワナフライ,78.5,8,2026-07-26T12:10:04
20260726-01-05,01,05,2,サトノフルーク,1.3,1,2026-07-26T12:10:04
20260726-01-05,01,05,3,コスモトップ,13.7,4,2026-07-26T12:10:04
20260726-01-05,01,05,4,リアライズセレスト,14.6,5,2026-07-26T12:10:04
20260726-01-05,01,05,5,ローザベッラ,26.9,6,2026-07-26T12:10:04
20260726-01-05,01,05,6,レゾンフォルテ,6.3,2,2026-07-26T12:10:04
20260726-01-05,01,05,7,マイネルラビリンス,137.9,9,2026-07-26T12:10:04
20260726-01-05,01,05,8,ミラマルニ,158.5,10,2026-07-26T12:10:04
20260726-01-05,01,05,9,ノヴァヴェローチェ,7.4,3,2026-07-26T12:10:04
20260726-01-05,01,05,10,サンライズジャポネ,35.1,7,2026-07-26T12:10:04
20260726-01-06,01,06,1,デルマタカチホ,42.6,7,2026-07-26T12:40:04
20260726-01-06,01,06,2,ミッキーテネシー,2.8,2,2026-07-26T12:40:04
20260726-01-06,01,06,3,カイユレ,193.6,12,2026-07-26T12:40:04
20260726-01-06,01,06,4,ダディーズソード,113.4,11,2026-07-26T12:40:04
20260726-01-06,01,06,5,ブリリアンブルーム,102.3,10,2026-07-26T12:40:04
20260726-01-06,01,06,6,サトノリアファル,12.5,5,2026-07-26T12:40:04
20260726-01-06,01,06,7,スチョウプリンセス,78.2,8,2026-07-26T12:40:04
20260726-01-06,01,06,8,ゴコウコイコイ,10.8,4,2026-07-26T12:40:04
20260726-01-06,01,06,9,ヘイジュード,2.4,1,2026-07-26T12:40:04
20260726-01-06,01,06,10,スノーエルヴァ,99.4,9,2026-07-26T12:40:04
20260726-01-06,01,06,11,ジングアップ,12.9,6,2026-07-26T12:40:04
20260726-01-06,01,06,12,ロッサコメータ,6.1,3,2026-07-26T12:40:04
20260726-01-07,01,07,1,キープライジング,41.5,6,2026-07-26T13:10:03
20260726-01-07,01,07,2,ランドスター,6.1,5,2026-07-26T13:10:03
20260726-01-07,01,07,3,レネネト,5.5,4,2026-07-26T13:10:03
20260726-01-07,01,07,4,ロードヴァルカン,3.6,3,2026-07-26T13:10:03
20260726-01-07,01,07,5,ビタミンドロップ,3.0,1,2026-07-26T13:10:03
20260726-01-07,01,07,6,ナムラモモ,3.6,2,2026-07-26T13:10:03
20260726-01-07,01,07,7,ラムールデュヴォン,91.0,7,2026-07-26T13:10:03
20260726-01-08,01,08,1,デイトナチャンプ,1.6,1,2026-07-26T13:40:03
20260726-01-08,01,08,2,ナハトナナレオン,5.6,2,2026-07-26T13:40:03
20260726-01-08,01,08,3,メイショウハッケイ,11.6,4,2026-07-26T13:40:03
20260726-01-08,01,08,4,マジカルシャイン,58.6,9,2026-07-26T13:40:03
20260726-01-08,01,08,5,コスモレッド,13.6,6,2026-07-26T13:40:03
20260726-01-08,01,08,6,トップオンザヒル,91.8,10,2026-07-26T13:40:03
20260726-01-08,01,08,7,ルクスアドラー,148.4,11,2026-07-26T13:40:03
20260726-01-08,01,08,8,ダノンフィオーレ,13.5,5,2026-07-26T13:40:03
20260726-01-08,01,08,9,サンウリエル,21.3,8,2026-07-26T13:40:03
20260726-01-08,01,08,10,クイーンズワーフ,9.3,3,2026-07-26T13:40:03
20260726-01-08,01,08,11,フクシマコウヨウ,355.0,12,2026-07-26T13:40:03
20260726-01-08,01,08,12,トレヴィ,16.3,7,2026-07-26T13:40:03
20260726-01-09,01,09,1,ルージュビバーチェ,6.8,4,2026-07-26T14:10:03
20260726-01-09,01,09,2,サウンドルーチェ,15.0,6,2026-07-26T14:10:03
20260726-01-09,01,09,3,ナムラハリス,43.1,7,2026-07-26T14:10:03
20260726-01-09,01,09,4,マインセーラ,185.5,8,2026-07-26T14:10:03
20260726-01-09,01,09,5,マーゴットサンズ,1.6,1,2026-07-26T14:10:03
20260726-01-09,01,09,6,カルミアクラウン,5.5,2,2026-07-26T14:10:03
20260726-01-09,01,09,7,ヴェールミューズ,14.3,5,2026-07-26T14:10:03
20260726-01-09,01,09,8,ラウニウ,6.3,3,2026-07-26T14:10:03
20260726-01-10,01,10,1,アルデトップガン,5.2,3,2026-07-26T14:40:03
20260726-01-10,01,10,2,レイユール,22.3,8,2026-07-26T14:40:03
20260726-01-10,01,10,3,シャイニースイフト,20.5,7,2026-07-26T14:40:03
20260726-01-10,01,10,4,ヴェナートル,93.1,9,2026-07-26T14:40:03
20260726-01-10,01,10,5,マーゴットブロー,3.1,1,2026-07-26T14:40:03
20260726-01-10,01,10,6,ショウナンカリス,5.3,4,2026-07-26T14:40:03
20260726-01-10,01,10,7,ブラックルビー,20.1,9,2026-07-26T14:40:03
20260726-01-10,01,10,8,ワタシマツワ,9.2,5,2026-07-26T14:40:03
20260726-01-10,01,10,9,ジャズ,12.6,6,2026-07-26T14:40:03
20260726-01-10,01,10,10,ヒズマスターピース,3.7,2,2026-07-26T14:40:03
20260726-01-11,01,11,1,スピードリッチ,23.1,6,2026-07-26T15:20:02
20260726-01-11,01,11,2,ミラージュナイト,2.1,1,2026-07-26T15:20:02
