race_id,track_code,race_num,tan_horse_num1,tan_payout1,fuku_horse_num1,fuku_payout1,fuku_horse_num2,fuku_payout2,fuku_horse_num3,fuku_payout3
20260830-01-01,01,01,1,520,1,180,4,280,7,160
20260830-01-02,01,02,13,550,13,280,8,230,5,910
20260830-01-03,01,03,4,330,4,170,12,1320,2,350
20260830-01-04,01,04,4,380,4,190,14,730,15,1160
20260830-01-05,01,05,3,170,3,110,6,110,5,180
20260830-01-06,01,06,11,610,11,150,12,120,10,170
20260830-01-07,01,07,11,420,11,190,7,440,8,130
20260830-01-08,01,08,12,290,12,140,14,150,6,130
20260830-01-09,01,09,8,450,8,150,10,150,5,280
20260830-01-10,01,10,16,360,16,190,11,630,5,540
20260830-01-11,01,11,2,1790,2,510,13,190,4,240
20260830-01-12,01,12,13,1110,13,280,10,210,5,400
20260830-04-01,04,01,9,560,9,190,13,110,6,560
20260830-04-02,04,02,3,250,3,130,9,130,10,960
20260830-04-03,04,03,2,6170,2,570,5,110,6,170
20260830-04-04,04,04,2,170,2,110,6,120,9,150
20260830-04-05,04,05,4,2740,4,780,9,350,11,200
20260830-04-06,04,06,2,190,2,110,7,360,9,290
20260830-04-07,04,07,1,900,1,220,2,540,7,150
20260830-04-08,04,08,5,350,5,130,3,150,8,120
20260830-04-09,04,09,18,290,18,180,17,690,11,260
20260830-04-10,04,10,5,610,5,200,10,130,4,390
20260830-04-11,04,11,10,230,10,120,8,150,11,150
20260830-04-12,04,12,6,250,6,110,8,120,14,170
20260830-07-01,07,01,8,150,8,110,5,190,4,270
20260830-07-02,07,02,8,1570,8,310,7,300,6,200
20260830-07-03,07,03,7,580,7,180,10,230,4,160
20260830-07-04,07,04,7,150,7,110,2,260,10,220
20260830-07-05,07,05,10,340,10,180,12,1710,11,230
20260830-07-06,07,06,6,130,6,110,3,220,14,310
20260830-07-07,07,07,9,170,9,110,4,170,7,120
20260830-07-08,07,08,7,620,7,230,3,280,8,1880
20260830-07-09,07,09,10,280,10,150,3,200,9,610
20260830-07-10,07,10,6,600,6,220,2,260,1,700
20260830-07-11,07,11,17,620,17,230,13,230,7,340
20260830-07-12,07,12,6,1980,6,450,11,130,1,270
